Linux 6.8.0-1064-gcp (csb-bench-host-gcp) 	08/16/26 	_x86_64_	(4 CPU)

15:38:03     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:38:04     all    5.22    0.00    3.23   85.07    0.00    5.22    0.25    0.00    0.00    1.00
15:38:05     all    5.42    0.00    2.22   86.70    0.00    4.68    0.49    0.00    0.00    0.49
15:38:06     all    6.54    0.00    2.66   84.02    0.00    5.81    0.24    0.00    0.00    0.73
15:38:07     all    5.96    0.00    2.73   86.35    0.00    4.71    0.00    0.00    0.00    0.25
15:38:08     all    5.69    0.00    2.48   86.14    0.00    5.20    0.25    0.00    0.00    0.25
15:38:09     all    5.85    0.00    3.17   84.39    0.00    5.85    0.24    0.00    0.00    0.49
15:38:10     all    6.34    0.00    2.68   84.88    0.00    5.61    0.49    0.00    0.00    0.00
15:38:11     all    6.36    0.00    2.44   83.13    0.00    6.11    0.00    0.00    0.00    1.96
15:38:12     all    6.07    0.00    3.16   82.52    0.00    6.55    0.24    0.00    0.00    1.46
15:38:13     all    6.16    0.00    2.96   84.24    0.00    5.91    0.25    0.00    0.00    0.49
15:38:14     all    6.81    0.00    3.16   82.73    0.00    5.60    0.24    0.00    0.00    1.46
15:38:15     all    7.39    0.00    2.46   83.74    0.00    5.17    0.49    0.00    0.00    0.74
15:38:16     all    6.57    0.00    2.43   84.18    0.00    5.84    0.00    0.00    0.00    0.97
15:38:17     all    6.80    0.00    2.67   83.50    0.00    6.07    0.24    0.00    0.00    0.73
15:38:18     all    6.42    0.00    2.47   84.94    0.00    5.43    0.25    0.00    0.00    0.49
15:38:19     all    6.36    0.00    2.44   85.57    0.00    5.38    0.24    0.00    0.00    0.00
15:38:20     all    6.33    0.00    3.16   84.43    0.00    5.60    0.24    0.00    0.00    0.24
15:38:21     all    5.71    0.00    2.48   83.37    0.00    5.96    0.00    0.00    0.00    2.48
15:38:22     all    5.45    0.00    2.23   86.14    0.00    4.95    0.25    0.00    0.00    0.99
15:38:23     all    6.88    0.00    2.46   83.54    0.00    5.41    0.49    0.00    0.00    1.23
15:38:24     all    6.78    0.00    2.66   82.08    0.00    6.05    0.00    0.00    0.00    2.42
15:38:25     all    6.83    0.00    2.68   83.41    0.00    6.10    0.24    0.00    0.00    0.73
15:38:26     all    6.27    0.00    3.37   83.13    0.00    6.27    0.24    0.00    0.00    0.72
15:38:27     all    5.45    0.00    2.72   85.64    0.00    5.20    0.50    0.00    0.00    0.50
15:38:28     all    5.94    0.00    3.47   82.92    0.00    5.20    0.00    0.00    0.00    2.48
15:38:29     all    5.68    0.00    2.47   85.68    0.00    5.43    0.25    0.00    0.00    0.49
15:38:30     all    7.52    0.00    2.91   82.52    0.00    5.83    0.00    0.00    0.00    1.21
15:38:31     all    7.04    0.00    2.67   83.98    0.00    5.34    0.73    0.00    0.00    0.24
15:38:32     all    6.60    0.00    2.44   84.35    0.00    6.36    0.00    0.00    0.00    0.24
15:38:33     all    6.17    0.00    2.72   82.22    0.00    5.19    0.00    0.00    0.00    3.70
15:38:34     all    6.54    0.00    3.15   82.08    0.00    6.05    0.00    0.00    0.00    2.18
15:38:35     all    3.28    0.00    3.03   32.07    0.00    1.52    1.01    0.00    0.00   59.09
15:38:36     all    3.00    0.00    4.00   20.25    0.00    1.75    0.00    0.00    0.00   71.00
15:38:37     all    2.50    0.00    3.25   20.50    0.00    2.75    0.00    0.00    0.00   71.00
15:38:38     all    2.03    0.00    3.05   21.07    0.00    1.52    0.00    0.00    0.00   72.34
15:38:39     all    2.76    0.00    3.27   20.35    0.00    2.01    0.00    0.00    0.00   71.61
15:38:40     all    1.79    0.00    3.06   20.41    0.00    2.30    0.51    0.00    0.00   71.94
15:38:41     all    1.76    0.00    3.27   20.65    0.00    1.51    0.50    0.00    0.00   72.29
15:38:42     all    2.78    0.00    3.28   20.45    0.00    2.02    0.00    0.00    0.00   71.46
15:38:43     all    2.05    0.00    2.56   20.97    0.00    1.53    0.00    0.00    0.00   72.89
15:38:44     all    2.24    0.00    3.98   20.15    0.00    2.49    0.25    0.00    0.00   70.90
15:38:45     all    2.30    0.00    3.06   20.66    0.00    1.53    0.00    0.00    0.00   72.45
15:38:46     all    2.04    0.00    3.56   20.61    0.00    1.53    0.25    0.00    0.00   72.01
15:38:47     all    2.01    0.00    3.02   20.60    0.00    2.26    0.50    0.00    0.00   71.61
15:38:48     all    2.29    0.00    3.31   20.10    0.00    1.78    0.25    0.00    0.00   72.26
15:38:49     all    1.78    0.00    3.31   20.87    0.00    2.29    0.00    0.00    0.00   71.76
15:38:50     all    2.53    0.00    3.28   20.20    0.00    2.02    0.25    0.00    0.00   71.72
15:38:51     all    2.55    0.00    3.06   20.41    0.00    1.79    0.00    0.00    0.00   72.19
15:38:52     all    1.52    0.00    3.29   20.76    0.00    1.52    0.25    0.00    0.00   72.66
15:38:53     all    2.49    0.00    3.73   20.40    0.00    1.99    0.50    0.00    0.00   70.90
15:38:54     all    1.79    0.00    2.56   20.97    0.00    1.79    0.00    0.00    0.00   72.89
15:38:55     all    2.01    0.00    3.77   20.35    0.00    2.26    0.00    0.00    0.00   71.61
15:38:56     all    2.02    0.00    3.28   20.71    0.00    1.77    0.25    0.00    0.00   71.97
15:38:57     all    1.27    0.00    3.29   20.76    0.00    1.77    0.25    0.00    0.00   72.66
15:38:58     all    2.03    0.00    3.54   20.51    0.00    1.77    0.00    0.00    0.00   72.15
15:38:59     all    2.51    0.00    3.26   20.55    0.00    2.01    0.50    0.00    0.00   71.18
15:39:00     all    1.52    0.00    3.29   20.51    0.00    1.77    0.00    0.00    0.00   72.91
15:39:01     all    2.05    0.00    3.32   20.46    0.00    1.79    0.26    0.00    0.00   72.12
15:39:02     all    2.27    0.00    3.53   20.40    0.00    2.27    0.25    0.00    0.00   71.28
15:39:03     all    2.28    0.00    2.79   20.56    0.00    2.03    0.00    0.00    0.00   72.34
15:39:04     all    2.27    0.00    3.28   20.71    0.00    2.02    0.25    0.00    0.00   71.46
15:39:05     all    2.52    0.00    3.02   20.15    0.00    2.27    0.25    0.00    0.00   71.79
15:39:06     all    1.78    0.00    3.30   20.81    0.00    1.78    0.51    0.00    0.00   71.83
15:39:07     all    2.27    0.00    3.02   20.65    0.00    2.27    0.00    0.00    0.00   71.79
15:39:08     all    1.77    0.00    2.78   21.01    0.00    2.03    0.00    0.00    0.00   72.41
15:39:09     all    1.76    0.00    3.78   20.91    0.00    1.76    0.00    0.00    0.00   71.79
15:39:10     all    2.28    0.00    3.80   20.00    0.00    2.03    0.25    0.00    0.00   71.65
15:39:11     all    1.77    0.00    3.03   20.71    0.00    2.27    0.51    0.00    0.00   71.72
15:39:12     all    2.03    0.00    3.29   20.51    0.00    1.77    0.25    0.00    0.00   72.15
15:39:13     all    1.78    0.00    3.30   21.07    0.00    1.52    0.00    0.00    0.00   72.34
15:39:14     all    2.04    0.00    3.05   20.61    0.00    2.04    0.00    0.00    0.00   72.26
15:39:15     all    2.53    0.00    3.03   20.71    0.00    2.02    0.25    0.00    0.00   71.46
15:39:16     all    1.54    0.00    3.34   20.57    0.00    1.80    0.00    0.00    0.00   72.75
15:39:17     all    1.02    0.00    2.80   20.87    0.00    1.78    0.25    0.00    0.00   73.28
15:39:18     all    2.03    0.00    2.79   20.81    0.00    1.78    0.51    0.00    0.00   72.08
15:39:19     all    2.27    0.00    3.02   20.65    0.00    2.02    0.25    0.00    0.00   71.79
15:39:20     all    2.04    0.00    2.81   20.66    0.00    2.04    0.00    0.00    0.00   72.45
15:39:21     all    1.76    0.00    3.77   20.85    0.00    2.01    0.00    0.00    0.00   71.61
