Linux 6.8.0-1064-gcp (csb-bench-host-gcp) 	08/15/26 	_x86_64_	(4 CPU)

16:36:46     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16:36:47     all    0.76    0.00    1.01   97.72    0.00    0.00    0.25    0.00    0.00    0.25
16:36:48     all    0.25    0.00    1.00   98.25    0.00    0.25    0.25    0.00    0.00    0.00
16:36:49     all    0.00    0.00    1.02   98.73    0.00    0.25    0.00    0.00    0.00    0.00
16:36:50     all    0.00    0.00    1.27   98.23    0.00    0.51    0.00    0.00    0.00    0.00
16:36:51     all    0.00    0.00    1.02   98.98    0.00    0.00    0.00    0.00    0.00    0.00
16:36:52     all    0.00    0.00    1.26   97.99    0.00    0.75    0.00    0.00    0.00    0.00
16:36:53     all    0.00    0.00    1.75   97.74    0.00    0.50    0.00    0.00    0.00    0.00
16:36:54     all    0.00    0.00    1.01   98.74    0.00    0.25    0.00    0.00    0.00    0.00
16:36:55     all    0.00    0.00    1.01   98.74    0.00    0.25    0.00    0.00    0.00    0.00
16:36:56     all    0.00    0.00    0.76   98.74    0.00    0.51    0.00    0.00    0.00    0.00
16:36:57     all    0.00    0.00    0.76   99.24    0.00    0.00    0.00    0.00    0.00    0.00
16:36:58     all    0.00    0.00    1.00   98.25    0.00    0.25    0.50    0.00    0.00    0.00
16:36:59     all    0.00    0.00    0.76   98.99    0.00    0.25    0.00    0.00    0.00    0.00
16:37:00     all    0.51    0.00    0.51   98.74    0.00    0.25    0.00    0.00    0.00    0.00
16:37:01     all    0.00    0.00    1.01   98.74    0.00    0.25    0.00    0.00    0.00    0.00
16:37:02     all    0.00    0.00    0.76   98.99    0.00    0.25    0.00    0.00    0.00    0.00
16:37:03     all    0.00    0.00    0.25   99.49    0.00    0.25    0.00    0.00    0.00    0.00
16:37:04     all    0.00    0.00    1.01   98.74    0.00    0.25    0.00    0.00    0.00    0.00
16:37:05     all    0.00    0.00    0.76   99.24    0.00    0.00    0.00    0.00    0.00    0.00
16:37:06     all    0.25    0.00    0.75   98.50    0.00    0.50    0.00    0.00    0.00    0.00
16:37:07     all    0.25    0.00    0.51   98.99    0.00    0.25    0.00    0.00    0.00    0.00
16:37:08     all    0.00    0.00    0.76   98.99    0.00    0.25    0.00    0.00    0.00    0.00
16:37:09     all    0.00    0.00    0.76   98.74    0.00    0.25    0.25    0.00    0.00    0.00
16:37:10     all    0.00    0.00    1.01   98.49    0.00    0.50    0.00    0.00    0.00    0.00
16:37:11     all    0.00    0.00    0.76   98.99    0.00    0.00    0.25    0.00    0.00    0.00
16:37:12     all    0.00    0.00    0.51   99.24    0.00    0.25    0.00    0.00    0.00    0.00
16:37:13     all    0.51    0.00    0.51   98.73    0.00    0.25    0.00    0.00    0.00    0.00
16:37:14     all    0.25    0.00    1.01   98.49    0.00    0.25    0.00    0.00    0.00    0.00
16:37:15     all    0.00    0.00    0.76   98.99    0.00    0.25    0.00    0.00    0.00    0.00
16:37:16     all    0.00    0.00    0.76   98.74    0.00    0.50    0.00    0.00    0.00    0.00
16:37:17     all    0.00    0.00    1.01   98.99    0.00    0.00    0.00    0.00    0.00    0.00
16:37:18     all    0.00    0.00    0.51   99.49    0.00    0.00    0.00    0.00    0.00    0.00
16:37:19     all    0.00    0.00    1.00   98.25    0.00    0.75    0.00    0.00    0.00    0.00
16:37:20     all    0.25    0.00    0.25   88.35    0.00    0.25    0.00    0.00    0.00   10.89
16:37:21     all    0.00    0.00    0.76   98.74    0.00    0.25    0.25    0.00    0.00    0.00
16:37:22     all    0.00    0.00    1.00   98.75    0.00    0.25    0.00    0.00    0.00    0.00
16:37:23     all    0.25    0.00    0.25   98.74    0.00    0.51    0.25    0.00    0.00    0.00
16:37:24     all    0.00    0.00    1.51   98.49    0.00    0.00    0.00    0.00    0.00    0.00
16:37:25     all    0.00    0.00    0.51   98.99    0.00    0.25    0.25    0.00    0.00    0.00
16:37:26     all    0.00    0.00    0.51   99.24    0.00    0.25    0.00    0.00    0.00    0.00
16:37:27     all    0.00    0.00    1.01   98.74    0.00    0.25    0.00    0.00    0.00    0.00
16:37:28     all    0.00    0.00    0.76   98.74    0.00    0.50    0.00    0.00    0.00    0.00
