Linux 6.8.0-1064-gcp (csb-bench-host-gcp) 	08/15/26 	_x86_64_	(4 CPU)

14:25:49     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:25:50     all    2.26    0.00    5.26    0.00    0.00    2.51    1.00    0.00    0.00   88.97
14:25:51     all    1.79    0.00    4.60    0.00    0.00    2.81    0.00    0.00    0.00   90.79
14:25:52     all    2.27    0.00    6.31    0.00    0.00    2.53    0.00    0.00    0.00   88.89
14:25:53     all    1.75    0.00    6.52    0.00    0.00    2.76    1.00    0.00    0.00   87.97
14:25:54     all    1.54    0.00    5.13    0.00    0.00    2.56    0.00    0.00    0.00   90.77
14:25:55     all    2.80    0.00    4.58    0.00    0.00    2.54    0.00    0.00    0.00   90.08
14:25:56     all    2.01    0.00    6.02    0.00    0.00    2.26    0.75    0.00    0.00   88.97
14:25:57     all    1.03    0.00    4.87    0.00    0.00    2.82    0.26    0.00    0.00   91.03
14:25:58     all    2.05    0.00    4.35    0.00    0.00    2.56    0.00    0.00    0.00   91.05
14:25:59     all    1.53    0.00    5.61    0.00    0.00    2.04    0.26    0.00    0.00   90.56
14:26:00     all    1.53    0.00    5.36    0.00    0.00    2.55    0.77    0.00    0.00   89.80
14:26:01     all    2.55    0.00    4.34    0.00    0.00    2.04    0.00    0.00    0.00   91.07
14:26:02     all    2.03    0.00    5.33    0.00    0.00    1.78    0.25    0.00    0.00   90.61
14:26:03     all    1.28    0.00    4.86    0.00    0.00    2.56    0.00    0.00    0.00   91.30
14:26:04     all    1.78    0.00    4.58    0.00    0.00    2.80    0.25    0.00    0.00   90.59
14:26:05     all    2.03    0.00    5.06    0.00    0.00    2.28    0.51    0.00    0.00   90.13
14:26:06     all    2.04    0.00    4.33    0.00    0.00    2.54    0.25    0.00    0.00   90.84
14:26:07     all    1.79    0.00    4.62    0.00    0.00    2.56    0.00    0.00    0.00   91.03
14:26:08     all    1.28    0.00    4.87    0.00    0.00    2.56    0.26    0.00    0.00   91.03
14:26:09     all    1.79    0.00    4.59    0.00    0.00    2.30    0.51    0.00    0.00   90.82
14:26:10     all    1.78    0.00    4.82    0.00    0.00    2.28    0.25    0.00    0.00   90.86
14:26:11     all    1.55    0.00    4.40    0.00    0.00    1.81    0.00    0.00    0.00   92.23
14:26:12     all    1.53    0.00    4.59    0.00    0.00    2.81    0.26    0.00    0.00   90.82
14:26:13     all    2.03    0.00    4.06    0.00    0.00    3.05    0.76    0.00    0.00   90.10
14:26:14     all    1.79    0.00    5.10    0.00    0.00    2.04    0.00    0.00    0.00   91.07
14:26:15     all    2.05    0.00    5.37    0.00    0.00    2.30    0.00    0.00    0.00   90.28
14:26:16     all    1.78    0.00    4.33    0.00    0.00    2.80    0.51    0.00    0.00   90.59
