Linux 6.8.0-1064-gcp (csb-bench-host-gcp) 	08/15/26 	_x86_64_	(4 CPU)

19:36:27     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:36:28     all    0.26    0.00   11.69    0.00    0.00   10.13    0.00    0.00    0.00   77.92
19:36:29     all    0.26    0.00   14.65    0.00    0.00   13.11    0.00    0.00    0.00   71.98
19:36:30     all    0.00    0.00   14.25    0.00    0.00   12.95    0.00    0.00    0.00   72.80
19:36:31     all    0.00    0.00   11.76    0.00    0.00   10.74    0.00    0.00    0.00   77.49
19:36:32     all    0.00    0.00   13.37    0.00    0.00   12.60    0.00    0.00    0.00   74.04
19:36:33     all    0.00    0.00   16.49    0.00    0.00   12.30    0.00    0.00    0.00   71.20
19:36:34     all    0.00    0.00   12.34    0.00    0.00   11.84    0.00    0.00    0.00   75.82
19:36:35     all    0.00    0.00    9.51    0.00    0.00    8.74    0.26    0.00    0.00   81.49
19:36:36     all    0.00    0.00    4.56    0.00    0.00    4.56    0.00    0.00    0.00   90.89
19:36:37     all    0.00    0.00    1.01    0.00    0.00    0.51    0.00    0.00    0.00   98.48
19:36:38     all    0.00    0.00    1.51    0.00    0.00    0.76    0.00    0.00    0.00   97.73
19:36:39     all    0.00    0.00    1.02    0.25    0.00    0.00    0.00    0.00    0.00   98.73
19:36:40     all    0.00    0.00    1.52    0.00    0.00    1.01    0.00    0.00    0.00   97.47
19:36:41     all    0.25    0.00    1.01    0.00    0.00    0.51    0.00    0.00    0.00   98.23
19:36:42     all    0.00    0.00    1.52    0.00    0.00    0.76    0.00    0.00    0.00   97.73
19:36:43     all    0.00    0.00    1.51    0.00    0.00    0.75    0.00    0.00    0.00   97.74
19:36:44     all    0.25    0.00    0.76    0.00    0.00    0.76    0.00    0.00    0.00   98.22
19:36:45     all    0.00    0.00    1.27    0.00    0.00    0.51    0.00    0.00    0.00   98.22
19:36:46     all    0.00    0.00    1.52    0.00    0.00    0.51    0.00    0.00    0.00   97.98
19:36:47     all    0.00    0.00    1.26    0.00    0.00    0.76    0.00    0.00    0.00   97.98
19:36:48     all    0.00    0.00    1.27    0.00    0.00    0.25    0.00    0.00    0.00   98.48
19:36:49     all    0.00    0.00    1.26    0.00    0.00    0.76    0.00    0.00    0.00   97.98
19:36:50     all    0.00    0.00    1.27    0.00    0.00    0.51    0.00    0.00    0.00   98.23
19:36:51     all    0.00    0.00    1.52    0.00    0.00    0.76    0.51    0.00    0.00   97.22
19:36:52     all    0.00    0.00    0.76    0.00    0.00    0.51    0.00    0.00    0.00   98.73
19:36:53     all    0.00    0.00    1.27    0.00    0.00    0.51    0.00    0.00    0.00   98.22
19:36:54     all    0.00    0.00    1.01    0.00    0.00    0.51    0.00    0.00    0.00   98.48
19:36:55     all    0.00    0.00    1.77    0.00    0.00    0.51    0.00    0.00    0.00   97.73
19:36:56     all    0.00    0.00    1.26    0.00    0.00    0.50    0.00    0.00    0.00   98.24
