Linux 6.8.0-1064-gcp (csb-bench-host-gcp) 	08/18/26 	_x86_64_	(4 CPU)

19:44:12     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:44:13     all   21.01    0.00    6.33    0.00    0.00    4.30    0.00    0.00    0.00   68.35
19:44:14     all   14.75    0.00    1.50    0.00    0.00    4.00    0.00    0.00    0.00   79.75
19:44:15     all   15.75    0.00    2.25    0.00    0.00    4.75    0.25    0.00    0.00   77.00
19:44:16     all   17.38    0.00    3.27    0.00    0.00    5.79    0.25    0.00    0.00   73.30
19:44:17     all   21.11    0.00    2.76    0.00    0.00    4.77    0.00    0.00    0.00   71.36
19:44:18     all   21.64    0.00    3.98    0.25    0.00    6.72    0.25    0.00    0.00   67.16
19:44:19     all   22.50    0.00    3.75    0.00    0.00    6.00    0.00    0.00    0.00   67.75
19:44:20     all   15.01    0.00    2.04    0.00    0.00    4.07    0.00    0.00    0.00   78.88
19:44:21     all   13.85    0.00    2.52    0.00    0.00    3.78    0.25    0.00    0.00   79.60
19:44:22     all   16.41    0.00    2.78    0.00    0.00    4.29    0.00    0.00    0.00   76.52
19:44:23     all   19.08    0.00    3.05    0.00    0.00    5.34    0.00    0.00    0.00   72.52
19:44:24     all   19.50    0.00    3.50    0.00    0.00    6.00    0.00    0.00    0.00   71.00
19:44:25     all   22.17    0.00    3.53    0.00    0.00    5.54    0.00    0.00    0.00   68.77
19:44:26     all   18.00    0.00    2.50    0.00    0.00    5.75    0.50    0.00    0.00   73.25
19:44:27     all   13.60    0.00    2.27    0.00    0.00    4.53    0.00    0.00    0.00   79.60
19:44:28     all   15.75    0.00    2.50    0.00    0.00    4.25    0.25    0.00    0.00   77.25
19:44:29     all   17.88    0.00    2.77    0.00    0.00    5.04    0.00    0.00    0.00   74.31
19:44:30     all   20.51    0.00    3.29    0.00    0.00    5.57    0.00    0.00    0.00   70.63
19:44:31     all   21.61    0.00    3.27    0.00    0.00    6.03    0.00    0.00    0.00   69.10
19:44:32     all   18.23    0.00    3.29    0.00    0.00    5.57    0.25    0.00    0.00   72.66
