Linux 6.8.0-1064-gcp (csb-bench-host-gcp) 	08/18/26 	_x86_64_	(4 CPU)

03:02:49     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:02:50     all   13.80    0.00    2.08    0.00    0.00    0.26    0.26    0.00    0.00   83.59
03:02:51     all   14.92    0.00    1.57    0.00    0.00    0.26    0.26    0.00    0.00   82.98
03:02:52     all   14.81    0.00    1.59    0.00    0.00    0.26    0.00    0.00    0.00   83.33
03:02:53     all    9.87    0.00    1.30    0.00    0.00    0.52    0.00    0.00    0.00   88.31
03:02:54     all   13.87    0.00    2.09    0.26    0.00    0.52    0.00    0.00    0.00   83.25
03:02:55     all   14.10    0.00    1.86    0.00    0.00    0.53    0.00    0.00    0.00   83.51
03:02:56     all   13.10    0.00    2.14    0.00    0.00    0.53    0.00    0.00    0.00   84.22
03:02:57     all   12.18    0.00    1.78    0.00    0.00    3.30    0.00    0.00    0.00   82.74
03:02:58     all   12.53    0.00    1.50    0.00    0.00    3.01    0.00    0.00    0.00   82.96
03:02:59     all   10.22    0.00    1.00    0.00    0.00    1.75    0.00    0.00    0.00   87.03
03:03:00     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
03:03:01     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:03:02     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:03:03     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:03:04     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:03:05     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:03:06     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
03:03:07     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:03:08     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
