run_id,timestamp_utc,provider,region,paradigm,workload,rep,concurrency,tool,block_size,dataset_size_gb,warmup_s,duration_s,read_throughput_mbps,write_throughput_mbps,total_throughput_mbps,read_iops,write_iops,total_iops,lat_mean_ms,lat_p95_ms,lat_p99_ms,metadata_ops_per_s,cpu_util_pct,raw_artifact_path,raw_sha256
huawei-file-largeobj-c04-r2,2026-08-15T14:16:45.559067+00:00,huawei,af-south-1,file,largeobj,2,4,elbencho,16m,40,60,900,186.0,,186.0,11.0,,11.0,340.707,,1048.576,,7.9,results-sweep/raw/huawei-file-largeobj-c04-r2.elbencho.csv,cb609d8dd3c3b46d03b974f9602913bbf4f659d8553de5b4a067bd04e17cce32
huawei-file-largeobj-c64-r2,2026-08-15T14:31:02.333482+00:00,huawei,af-south-1,file,largeobj,2,64,elbencho,16m,40,60,900,186.0,,186.0,11.0,,11.0,5420.208,,7053.95,,7.6,results-sweep/raw/huawei-file-largeobj-c64-r2.elbencho.csv,ce4b27bd13f55ad618690ab0eb1be1d7f268a60adca08c10a4839f6bb68af233
huawei-block-largeobj-c16-r3,2026-08-15T14:38:22.688561+00:00,huawei,af-south-1,block,largeobj,3,16,elbencho,16m,40,60,900,347.0,,347.0,21.0,,21.0,727.058,,2097.152,,86.4,results-sweep/raw/huawei-block-largeobj-c16-r3.elbencho.csv,b7727f0851e3d90081d2dfe6508ffeae4a2ff67187125eccc30e9ff9d5f403e1
huawei-file-balanced-c04-r2,2026-08-15T14:54:43.870178+00:00,huawei,af-south-1,file,balanced,2,4,elbencho,64k,20,60,900,187.0,95.0,282.0,2995.0,1532.0,4527.0,2.009,,5.818,,6.3,results-sweep/raw/huawei-file-balanced-c04-r2.elbencho.csv,dd9153e0f882b85ec7fef71975a895bbc925f0a5b360842bec1c9de647ceb964
huawei-file-balanced-c64-r2,2026-08-15T15:05:16.733758+00:00,huawei,af-south-1,file,balanced,2,64,elbencho,64k,20,60,900,188.0,186.0,374.0,3018.0,2988.0,6006.0,20.896,,881.744,,9.5,results-sweep/raw/huawei-file-balanced-c64-r2.elbencho.csv,5697ec8926d8b4c8cc8fa1575a5073d61c3dcde481dd4e77a97b409c97fd5ec7
huawei-block-balanced-c01-r1,2026-08-15T15:17:00.859616+00:00,huawei,af-south-1,block,balanced,1,1,elbencho,64k,20,60,900,88.0,76.0,164.0,1411.0,1230.0,2641.0,0.759,,1.885,,24.6,results-sweep/raw/huawei-block-balanced-c01-r1.elbencho.csv,b8d78ceb6e2510d82c34dcd46512f9b1d0be1b02e1bb53021a1a99c4ca63d419
huawei-block-largeobj-c64-r2,2026-08-15T15:24:53.218789+00:00,huawei,af-south-1,block,largeobj,2,64,elbencho,16m,40,60,900,343.0,,343.0,21.0,,21.0,2771.514,,8388.608,,91.4,results-sweep/raw/huawei-block-largeobj-c64-r2.elbencho.csv,fdd9d3d25c299789b635586d3bce0f7a76433265fee79c7f1b3de866971c02ee
huawei-block-largeobj-c01-r2,2026-08-15T15:32:15.082581+00:00,huawei,af-south-1,block,largeobj,2,1,elbencho,16m,40,60,900,347.0,,347.0,21.0,,21.0,46.08,,881.744,,24.0,results-sweep/raw/huawei-block-largeobj-c01-r2.elbencho.csv,db694097f4914810eddcb2805c6f01d4b048ddb024fd390f0ed075f6087a2bae
huawei-file-largeobj-c16-r2,2026-08-15T15:47:31.721075+00:00,huawei,af-south-1,file,largeobj,2,16,elbencho,16m,40,60,900,186.0,,186.0,11.0,,11.0,1363.152,,2097.152,,7.8,results-sweep/raw/huawei-file-largeobj-c16-r2.elbencho.csv,36da2a3552be89a631468eb7a2028daf285b3bb3270dbd803bb719fa7b265493
huawei-block-largeobj-c04-r1,2026-08-15T15:54:46.183467+00:00,huawei,af-south-1,block,largeobj,1,4,elbencho,16m,40,60,900,348.0,,348.0,21.0,,21.0,182.631,,1048.576,,83.4,results-sweep/raw/huawei-block-largeobj-c04-r1.elbencho.csv,be62b36506a92851b75a93be96d8dd64520378816b48fccded92e0c2d7309478
huawei-file-largeobj-c64-r1,2026-08-15T16:10:19.810209+00:00,huawei,af-south-1,file,largeobj,1,64,elbencho,16m,40,60,900,186.0,,186.0,11.0,,11.0,5423.436,,7053.95,,7.5,results-sweep/raw/huawei-file-largeobj-c64-r1.elbencho.csv,5d996ca41d9e92795df88abac59f2c502173e84f4d1124511670eea459fbf20c
huawei-block-largeobj-c01-r3,2026-08-15T16:17:36.373131+00:00,huawei,af-south-1,block,largeobj,3,1,elbencho,16m,40,60,900,349.0,,349.0,21.0,,21.0,45.749,,881.744,,23.2,results-sweep/raw/huawei-block-largeobj-c01-r3.elbencho.csv,990f648981600b6d5acf3f3d45ecfe4876f1d6ea18fe09053f1311922e48060c
huawei-block-largeobj-c64-r1,2026-08-15T16:24:54.819659+00:00,huawei,af-south-1,block,largeobj,1,64,elbencho,16m,40,60,900,344.0,,344.0,21.0,,21.0,2731.05,,9975.792,,91.1,results-sweep/raw/huawei-block-largeobj-c64-r1.elbencho.csv,bb34d45863b17252248683b5e5b0d3b59108159109e24326e48bceed2a93f0f7
huawei-file-balanced-c04-r3,2026-08-15T16:38:44.617474+00:00,huawei,af-south-1,file,balanced,3,4,elbencho,64k,20,60,900,187.0,88.0,275.0,3003.0,1414.0,4417.0,2.115,,6.919,,6.2,results-sweep/raw/huawei-file-balanced-c04-r3.elbencho.csv,a7f4ee1fbb73206de5db0223aa1efa194406ba414c545c71a3091a4ccbac7317
huawei-block-largeobj-c16-r2,2026-08-15T16:48:00.750644+00:00,huawei,af-south-1,block,largeobj,2,16,elbencho,16m,40,60,900,348.0,,348.0,21.0,,21.0,728.688,,2097.152,,85.8,results-sweep/raw/huawei-block-largeobj-c16-r2.elbencho.csv,ea6635c7401677e50a1353040c0b2cc215c02a6cc29e6e3cc6b3a1f1242ee85b
huawei-block-largeobj-c04-r2,2026-08-15T16:55:12.560590+00:00,huawei,af-south-1,block,largeobj,2,4,elbencho,16m,40,60,900,351.0,,351.0,21.0,,21.0,182.256,,1048.576,,86.6,results-sweep/raw/huawei-block-largeobj-c04-r2.elbencho.csv,0cac296ecb0b466269ad5a1bdaa9609935f7a0c252a4e0c25c0b645a580987c4
huawei-file-largeobj-c16-r1,2026-08-15T17:11:10.677206+00:00,huawei,af-south-1,file,largeobj,1,16,elbencho,16m,40,60,900,186.0,,186.0,11.0,,11.0,1360.979,,2097.152,,7.2,results-sweep/raw/huawei-file-largeobj-c16-r1.elbencho.csv,48027c586a5b633074ccd1089caad19f84856fd702ba07a6f2ccb2de33139885
huawei-block-balanced-c04-r3,2026-08-15T17:20:50.330259+00:00,huawei,af-south-1,block,balanced,3,4,elbencho,64k,20,60,900,341.0,76.0,417.0,5464.0,1222.0,6686.0,1.994,,5.895,,41.9,results-sweep/raw/huawei-block-balanced-c04-r3.elbencho.csv,a11229b2918585b95b450e98c40bf8e05ee5d73ebd70660e6c7c6425967fd5b9
huawei-file-balanced-c01-r3,2026-08-17T19:32:58.485177+00:00,huawei,af-south-1,file,balanced,3,1,elbencho,64k,20,60,1200,173.0,34.0,207.0,2781.0,551.0,3332.0,2.119,,3.045,,3.6,results-sweep/raw/huawei-file-balanced-c01-r3.elbencho.csv,2b31b10e5dfe6a905c4e8b0eb82a7183229a964122651c5af4d0380c9c2bc2c0
