Linux 5.15.0-173-generic (csb-bench-host-huawei) 	08/15/2026 	_x86_64_	(4 CPU)

11:07:39 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:07:40 PM  all    0.76    0.00    0.00   23.74    0.00    0.00    0.00    0.00    0.00   75.51
11:07:41 PM  all    1.00    0.00    0.75   23.63    0.00    0.25    0.00    0.00    0.00   74.38
11:07:42 PM  all    0.75    0.00    0.50   23.62    0.00    0.00    0.00    0.00    0.00   75.13
11:07:43 PM  all    0.76    0.00    0.25   24.43    0.00    0.00    0.00    0.00    0.00   74.56
11:07:44 PM  all    1.00    0.00    1.00   23.44    0.00    0.00    0.00    0.00    0.00   74.56
11:07:45 PM  all    0.76    0.00    0.50   23.68    0.00    0.00    0.00    0.00    0.00   75.06
11:07:46 PM  all    0.00    0.00    0.76   23.48    0.00    0.25    0.00    0.00    0.00   75.51
11:07:47 PM  all    1.50    0.00    0.50   23.50    0.00    0.00    0.00    0.00    0.00   74.50
11:07:48 PM  all    0.50    0.00    0.75   23.62    0.00    0.00    0.00    0.00    0.00   75.13
11:07:49 PM  all    1.00    0.00    0.50   23.75    0.00    0.00    0.00    0.00    0.00   74.75
11:07:50 PM  all    0.50    0.00    1.00   23.81    0.00    0.00    0.00    0.00    0.00   74.69
11:07:51 PM  all    1.01    0.00    0.25   23.87    0.00    0.00    0.00    0.00    0.00   74.87
11:07:52 PM  all    1.00    0.00    1.00   23.44    0.00    0.00    0.00    0.00    0.00   74.56
11:07:53 PM  all    1.01    0.00    0.50   23.62    0.00    0.00    0.00    0.00    0.00   74.87
11:07:54 PM  all    1.26    0.00    1.51   24.43    0.00    0.00    0.00    0.00    0.00   72.80
11:07:55 PM  all    1.49    0.00    0.74   23.57    0.00    0.25    0.00    0.00    0.00   73.95
11:07:56 PM  all    1.00    0.00    0.50   23.56    0.00    0.00    0.00    0.00    0.00   74.94
11:07:57 PM  all    0.50    0.00    0.50   23.93    0.00    0.00    0.00    0.00    0.00   75.06
11:07:58 PM  all    1.01    0.00    0.25   23.62    0.00    0.00    0.00    0.00    0.00   75.13
