Linux 5.15.0-173-generic (csb-bench-host-huawei) 	08/17/2026 	_x86_64_	(4 CPU)

02:02:13 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:02:14 AM  all    8.02    0.00    3.51   86.72    0.00    0.25    0.00    0.00    0.00    1.50
02:02:15 AM  all    3.02    0.00    2.27   94.46    0.00    0.25    0.00    0.00    0.00    0.00
02:02:16 AM  all    4.01    0.00    1.75   93.73    0.00    0.50    0.00    0.00    0.00    0.00
02:02:17 AM  all    3.28    0.00    1.52   95.20    0.00    0.00    0.00    0.00    0.00    0.00
02:02:18 AM  all    2.82    0.00    0.77   96.41    0.00    0.00    0.00    0.00    0.00    0.00
02:02:19 AM  all    1.55    0.00    0.52   97.93    0.00    0.00    0.00    0.00    0.00    0.00
02:02:20 AM  all    3.98    0.00    1.74   94.28    0.00    0.00    0.00    0.00    0.00    0.00
02:02:21 AM  all    3.78    0.00    1.51   94.46    0.00    0.25    0.00    0.00    0.00    0.00
02:02:22 AM  all    2.28    0.00    2.53   94.94    0.00    0.25    0.00    0.00    0.00    0.00
02:02:23 AM  all    3.06    0.00    1.28   95.66    0.00    0.00    0.00    0.00    0.00    0.00
02:02:24 AM  all    4.73    0.00    1.74   93.28    0.00    0.25    0.00    0.00    0.00    0.00
02:02:25 AM  all    2.80    0.00    1.78   95.42    0.00    0.00    0.00    0.00    0.00    0.00
02:02:26 AM  all    3.26    0.00    2.26   93.98    0.00    0.50    0.00    0.00    0.00    0.00
02:02:27 AM  all    3.77    0.00    2.76   93.22    0.00    0.25    0.00    0.00    0.00    0.00
02:02:28 AM  all    4.20    0.00    2.96   92.59    0.00    0.25    0.00    0.00    0.00    0.00
02:02:29 AM  all    3.46    0.00    3.70   73.33    0.00    0.74    0.00    0.00    0.00   18.77
02:02:30 AM  all    1.27    0.00    1.02   49.75    0.00    0.00    0.00    0.00    0.00   47.97
02:02:31 AM  all    1.26    0.00    0.76   24.43    0.00    0.25    0.00    0.00    0.00   73.30
02:02:32 AM  all    0.74    0.00    2.73   23.82    0.00    0.00    0.00    0.00    0.00   72.70
02:02:33 AM  all    0.50    0.00    1.25   23.81    0.00    0.25    0.00    0.00    0.00   74.19
02:02:34 AM  all    0.75    0.00    2.49   23.44    0.00    0.00    0.00    0.00    0.00   73.32
02:02:35 AM  all    1.26    0.00    1.01   23.17    0.00    0.00    0.00    0.00    0.00   74.56
02:02:36 AM  all    0.50    0.00    1.26   23.68    0.00    0.00    0.00    0.00    0.00   74.56
02:02:37 AM  all    0.51    0.00    0.51   23.86    0.00    0.00    0.00    0.00    0.00   75.13
02:02:38 AM  all    0.76    0.00    1.01   23.74    0.00    0.00    0.00    0.00    0.00   74.49
02:02:39 AM  all    0.76    0.00    1.01   23.43    0.00    0.00    0.00    0.00    0.00   74.81
02:02:40 AM  all    1.24    0.00    1.99   23.38    0.00    0.00    0.00    0.00    0.00   73.38
02:02:41 AM  all    1.00    0.00    2.00   23.25    0.00    0.00    0.00    0.00    0.00   73.75
