Linux 5.15.0-173-generic (csb-bench-host-huawei) 	08/15/2026 	_x86_64_	(4 CPU)

11:51:43 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:51:44 PM  all    0.75    0.00    0.50   95.74    0.00    0.00    0.00    0.00    0.00    3.01
11:51:45 PM  all    0.25    0.00    0.50   74.38    0.00    0.00    0.00    0.00    0.00   24.88
11:51:46 PM  all    0.00    0.00    0.25   77.75    0.00    0.00    0.00    0.00    0.00   22.00
11:51:47 PM  all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
11:51:48 PM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
11:51:49 PM  all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
11:51:50 PM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
11:51:51 PM  all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
11:51:52 PM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
11:51:53 PM  all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
11:51:54 PM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
11:51:55 PM  all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
11:51:56 PM  all    0.00    0.00    0.50   99.50    0.00    0.00    0.00    0.00    0.00    0.00
11:51:57 PM  all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
11:51:58 PM  all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
11:51:59 PM  all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
11:52:00 PM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
11:52:01 PM  all    0.75    0.00    1.50   97.74    0.00    0.00    0.00    0.00    0.00    0.00
11:52:02 PM  all    0.00    0.00    0.50   99.50    0.00    0.00    0.00    0.00    0.00    0.00
11:52:03 PM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
11:52:04 PM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
11:52:05 PM  all    0.00    0.00    0.25   99.50    0.00    0.25    0.00    0.00    0.00    0.00
11:52:06 PM  all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
11:52:07 PM  all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
11:52:08 PM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
11:52:09 PM  all    0.00    0.00    0.25   97.74    0.00    0.00    0.00    0.00    0.00    2.01
11:52:10 PM  all    1.50    0.00    0.25   74.31    0.00    0.00    0.00    0.00    0.00   23.94
11:52:11 PM  all    0.00    0.00    0.50   74.56    0.00    0.00    0.00    0.00    0.00   24.94
11:52:12 PM  all    0.00    0.00    0.25   95.02    0.00    0.00    0.00    0.00    0.00    4.73
11:52:13 PM  all    0.00    0.00    0.50   74.81    0.00    0.00    0.00    0.00    0.00   24.69
11:52:14 PM  all    0.00    0.00    0.00   74.94    0.00    0.00    0.00    0.00    0.00   25.06
11:52:15 PM  all    0.00    0.00    0.00   94.21    0.00    0.00    0.00    0.00    0.00    5.79
11:52:16 PM  all    0.00    0.00    0.25   74.81    0.00    0.00    0.00    0.00    0.00   24.94
11:52:17 PM  all    0.00    0.00    0.25   74.75    0.00    0.00    0.00    0.00    0.00   25.00
11:52:18 PM  all    0.00    0.00    0.25   92.50    0.00    0.00    0.00    0.00    0.00    7.25
11:52:19 PM  all    0.00    0.00    0.50   51.00    0.00    0.00    0.00    0.00    0.00   48.50
11:52:20 PM  all    0.00    0.00    0.25   72.93    0.00    0.00    0.00    0.00    0.00   26.82
11:52:21 PM  all    0.00    0.00    0.00   89.97    0.00    0.00    0.00    0.00    0.00   10.03
11:52:22 PM  all    0.00    0.00    0.25   74.75    0.00    0.00    0.00    0.00    0.00   25.00
11:52:23 PM  all    0.00    0.00    0.00   74.94    0.00    0.00    0.00    0.00    0.00   25.06
11:52:24 PM  all    0.00    0.00    0.00   95.23    0.00    0.00    0.00    0.00    0.00    4.77
11:52:25 PM  all    0.25    0.00    0.00   74.50    0.00    0.25    0.00    0.00    0.00   25.00
11:52:26 PM  all    0.00    0.00    0.00   75.19    0.00    0.00    0.00    0.00    0.00   24.81
11:52:27 PM  all    0.00    0.00    0.00   74.87    0.00    0.00    0.00    0.00    0.00   25.13
11:52:28 PM  all    0.25    0.00    0.25   74.56    0.00    0.00    0.00    0.00    0.00   24.94
11:52:29 PM  all    0.00    0.00    0.00   74.94    0.00    0.00    0.00    0.00    0.00   25.06
11:52:30 PM  all    0.00    0.00    0.00   92.75    0.00    0.00    0.00    0.00    0.00    7.25
11:52:31 PM  all    0.00    0.00    0.50   74.50    0.00    0.00    0.00    0.00    0.00   25.00
11:52:32 PM  all    0.00    0.00    0.00   74.94    0.00    0.00    0.00    0.00    0.00   25.06
11:52:33 PM  all    0.00    0.00    0.50   90.80    0.00    0.00    0.00    0.00    0.00    8.71
11:52:34 PM  all    0.00    0.00    0.25   75.69    0.00    0.00    0.00    0.00    0.00   24.06
11:52:35 PM  all    0.00    0.00    0.00   74.94    0.00    0.00    0.00    0.00    0.00   25.06
11:52:36 PM  all    0.00    0.00    0.00   95.98    0.00    0.00    0.00    0.00    0.00    4.02
11:52:37 PM  all    0.00    0.00    0.00   74.94    0.00    0.00    0.00    0.00    0.00   25.06
11:52:38 PM  all    0.00    0.00    0.25   75.00    0.00    0.00    0.00    0.00    0.00   24.75
11:52:39 PM  all    0.00    0.00    0.25   74.75    0.00    0.00    0.00    0.00    0.00   25.00
11:52:40 PM  all    0.00    0.00    0.00   97.74    0.00    0.00    0.00    0.00    0.00    2.26
11:52:41 PM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
11:52:42 PM  all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
11:52:43 PM  all    0.25    0.00    0.00   99.75    0.00    0.00    0.00    0.00    0.00    0.00
11:52:44 PM  all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
11:52:45 PM  all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
11:52:46 PM  all    0.00    0.00    0.25   99.50    0.00    0.25    0.00    0.00    0.00    0.00
11:52:47 PM  all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
11:52:48 PM  all    0.00    0.00    0.50   99.50    0.00    0.00    0.00    0.00    0.00    0.00
