Linux 5.15.0-173-generic (csb-bench-host-huawei) 	08/18/2026 	_x86_64_	(4 CPU)

03:49:47 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:49:48 AM  all    0.75    0.00    1.00    0.00    0.00    0.75    0.00    0.00    0.00   97.49
03:49:49 AM  all    0.25    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.74
03:49:50 AM  all    0.25    0.00    1.25    0.00    0.00    0.75    0.00    0.00    0.00   97.74
03:49:51 AM  all    0.00    0.00    0.50    0.00    0.00    1.26    0.00    0.00    0.00   98.24
03:49:52 AM  all    0.75    0.00    1.25    0.00    0.00    0.00    0.00    0.00    0.00   97.99
03:49:53 AM  all    0.25    0.00    1.00    0.25    0.00    0.50    0.00    0.00    0.00   98.00
03:49:54 AM  all    0.50    0.00    1.24    0.00    0.00    1.24    0.00    0.00    0.00   97.01
03:49:55 AM  all    0.25    0.00    0.76    0.00    0.00    0.50    0.00    0.00    0.00   98.49
03:49:56 AM  all    0.50    0.00    1.24    0.00    0.00    0.99    0.00    0.00    0.00   97.27
03:49:57 AM  all    0.25    0.00    1.00    0.00    0.00    0.75    0.00    0.00    0.00   97.99
03:49:58 AM  all    0.25    0.00    1.75    0.00    0.00    0.75    0.00    0.00    0.00   97.25
03:49:59 AM  all    0.25    0.00    1.74    0.00    0.00    1.24    0.00    0.00    0.00   96.77
03:50:00 AM  all    0.00    0.00    1.00    0.00    0.00    0.75    0.00    0.00    0.00   98.25
03:50:01 AM  all    0.75    0.00    1.25    0.00    0.00    0.75    0.00    0.00    0.00   97.24
03:50:02 AM  all    0.25    0.00    1.74    0.00    0.00    0.50    0.00    0.00    0.00   97.51
03:50:03 AM  all    0.50    0.00    1.24    0.00    0.00    1.24    0.00    0.00    0.00   97.01
03:50:04 AM  all    0.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   97.99
03:50:05 AM  all    1.50    0.00    1.50    1.50    0.00    1.00    0.00    0.00    0.00   94.50
03:50:06 AM  all    0.50    0.00    1.25    0.00    0.00    0.75    0.00    0.00    0.00   97.49
03:50:07 AM  all    0.00    0.00    1.01    0.00    0.00    0.50    0.00    0.00    0.00   98.49
03:50:08 AM  all    0.50    0.00    1.99    0.00    0.00    0.50    0.00    0.00    0.00   97.02
03:50:09 AM  all    0.25    0.00    0.75    0.00    0.00    1.00    0.00    0.00    0.00   98.00
03:50:10 AM  all    0.50    0.00    1.25    0.00    0.00    0.75    0.00    0.00    0.00   97.49
03:50:11 AM  all    1.76    0.00    0.76    0.00    0.00    0.76    0.00    0.00    0.00   96.73
03:50:12 AM  all    0.25    0.00    0.99    0.00    0.00    1.73    0.00    0.00    0.00   97.03
03:50:13 AM  all    0.50    0.00    1.49    0.25    0.00    0.75    0.00    0.00    0.00   97.01
03:50:14 AM  all    0.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   97.99
03:50:15 AM  all    0.25    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.73
03:50:16 AM  all    0.50    0.00    1.00    0.00    0.00    0.50    0.00    0.00    0.00   98.00
03:50:17 AM  all    0.49    0.00    1.48    0.00    0.00    1.23    0.00    0.00    0.00   96.79
03:50:18 AM  all    0.00    0.00    1.00    0.00    0.00    1.25    0.00    0.00    0.00   97.75
03:50:19 AM  all    0.25    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   99.24
03:50:20 AM  all    0.25    0.00    3.96    0.00    0.00    4.21    0.00    0.00    0.00   91.58
03:50:21 AM  all    0.25    0.00    4.01    0.00    0.00    5.76    0.00    0.00    0.00   89.97
03:50:22 AM  all    0.25    0.00    3.98    0.00    0.00    6.47    0.00    0.00    0.00   89.30
03:50:23 AM  all    0.00    0.00    4.27    0.00    0.00    5.03    0.00    0.00    0.00   90.70
03:50:24 AM  all    0.00    0.00    2.83    0.00    0.00    5.14    0.00    0.00    0.00   92.03
03:50:25 AM  all    0.00    0.00    4.02    0.00    0.00    5.53    0.00    0.00    0.00   90.45
03:50:26 AM  all    0.00    0.00    4.26    0.00    0.00    7.02    0.00    0.00    0.00   88.72
03:50:27 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:50:28 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:50:29 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:50:30 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
03:50:31 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:50:32 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:50:33 AM  all    0.25    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.50
03:50:34 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:50:35 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:50:36 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
