Linux 5.15.0-173-generic (csb-bench-host-huawei) 	08/15/2026 	_x86_64_	(4 CPU)

10:47:33 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:47:34 PM  all    1.72    0.00    4.66    0.00    0.00    2.70    0.00    0.00    0.00   90.93
10:47:35 PM  all    1.00    0.00    2.26    0.00    0.00    3.01    0.00    0.00    0.00   93.73
10:47:36 PM  all    1.00    0.00    3.25    0.25    0.00    2.00    0.00    0.00    0.00   93.50
10:47:37 PM  all    0.76    0.00    2.78    0.00    0.00    1.77    0.00    0.00    0.00   94.68
10:47:38 PM  all    1.51    0.00    3.02    0.00    0.00    2.26    0.00    0.00    0.00   93.22
10:47:39 PM  all    0.51    0.00    3.54    0.00    0.00    1.27    0.00    0.00    0.00   94.68
10:47:40 PM  all    1.49    0.00    3.23    0.00    0.00    2.49    0.00    0.00    0.00   92.79
10:47:41 PM  all    1.01    0.00    2.53    0.00    0.00    1.26    0.00    0.00    0.00   95.20
10:47:42 PM  all    0.51    0.00    3.31    0.00    0.00    2.29    0.00    0.00    0.00   93.89
10:47:43 PM  all    1.50    0.00    2.25    0.00    0.00    2.25    0.00    0.00    0.00   94.00
10:47:44 PM  all    0.25    0.00    4.49    0.00    0.00    2.49    0.00    0.00    0.00   92.77
10:47:45 PM  all    1.01    0.00    2.78    0.00    0.00    3.03    0.00    0.00    0.00   93.18
10:47:46 PM  all    1.23    0.00    3.46    0.00    0.00    1.73    0.00    0.00    0.00   93.58
10:47:47 PM  all    1.25    0.00    3.00    0.00    0.00    3.00    0.00    0.00    0.00   92.75
10:47:48 PM  all    0.99    0.00    2.97    0.00    0.00    2.23    0.00    0.00    0.00   93.81
10:47:49 PM  all    1.02    0.00    2.04    0.00    0.00    1.79    0.00    0.00    0.00   95.15
10:47:50 PM  all    0.25    0.00    3.02    0.00    0.00    2.02    0.00    0.00    0.00   94.71
10:47:51 PM  all    1.73    0.00    3.71    0.99    0.00    3.22    0.00    0.00    0.00   90.35
10:47:52 PM  all    1.50    0.00    2.99    0.00    0.00    2.49    0.00    0.00    0.00   93.02
10:47:53 PM  all    0.51    0.00    1.52    0.00    0.00    2.27    0.00    0.00    0.00   95.71
10:47:54 PM  all    0.51    0.00    3.54    0.00    0.00    2.03    0.00    0.00    0.00   93.92
10:47:55 PM  all    1.25    0.00    2.51    0.00    0.00    1.50    0.00    0.00    0.00   94.74
10:47:56 PM  all    0.74    0.00    3.97    0.00    0.00    2.23    0.00    0.00    0.00   93.05
10:47:57 PM  all    0.76    0.00    2.53    0.00    0.00    2.27    0.00    0.00    0.00   94.44
10:47:58 PM  all    0.75    0.00    3.26    0.00    0.00    1.75    0.00    0.00    0.00   94.24
10:47:59 PM  all    1.00    0.00    3.26    0.00    0.00    2.26    0.00    0.00    0.00   93.48
10:48:00 PM  all    1.49    0.00    3.97    0.00    0.00    1.24    0.00    0.00    0.00   93.30
10:48:01 PM  all    1.23    0.00    3.95    0.00    0.00    3.21    0.00    0.00    0.00   91.60
10:48:02 PM  all    1.98    0.00    3.21    0.25    0.00    2.22    0.00    0.00    0.00   92.35
10:48:03 PM  all    1.97    0.00    4.18    0.00    0.00    3.19    0.00    0.00    0.00   90.66
10:48:04 PM  all    1.25    0.00    3.50    0.00    0.00    2.75    0.00    0.00    0.00   92.50
10:48:05 PM  all    0.51    0.00    3.54    0.00    0.00    1.77    0.00    0.00    0.00   94.19
10:48:06 PM  all    1.00    0.00    4.24    0.00    0.00    2.49    0.00    0.00    0.00   92.27
10:48:07 PM  all    1.25    0.00    2.51    0.00    0.00    1.75    0.00    0.00    0.00   94.49
10:48:08 PM  all    1.01    0.00    3.27    0.00    0.00    2.01    0.00    0.00    0.00   93.72
10:48:09 PM  all    1.24    0.00    3.23    0.00    0.00    2.49    0.00    0.00    0.00   93.03
10:48:10 PM  all    0.74    0.00    3.97    0.00    0.00    2.98    0.00    0.00    0.00   92.31
10:48:11 PM  all    1.98    0.00    5.20    0.00    0.00    1.73    0.00    0.00    0.00   91.09
10:48:12 PM  all    1.25    0.00    3.00    0.00    0.00    1.75    0.00    0.00    0.00   94.00
10:48:13 PM  all    1.00    0.00    3.75    0.00    0.00    2.00    0.00    0.00    0.00   93.25
10:48:14 PM  all    0.75    0.00    3.25    0.00    0.00    2.25    0.00    0.00    0.00   93.75
10:48:15 PM  all    1.25    0.00    4.76    0.00    0.00    2.01    0.00    0.00    0.00   91.98
10:48:16 PM  all    1.24    0.00    3.73    0.00    0.00    1.49    0.00    0.00    0.00   93.53
10:48:17 PM  all    1.48    0.00    5.17    0.00    0.00    1.23    0.00    0.00    0.00   92.12
10:48:18 PM  all    1.50    0.00    2.99    0.00    0.00    2.49    0.00    0.00    0.00   93.02
10:48:19 PM  all    1.51    0.00    2.51    0.00    0.00    2.01    0.00    0.00    0.00   93.97
10:48:20 PM  all    1.00    0.00    4.00    0.00    0.00    2.00    0.00    0.00    0.00   93.00
10:48:21 PM  all    0.75    0.00    3.26    0.00    0.00    2.01    0.00    0.00    0.00   93.98
10:48:22 PM  all    1.01    0.00    2.53    0.00    0.00    1.52    0.00    0.00    0.00   94.95
10:48:23 PM  all    0.25    0.00    4.69    0.00    0.00    1.98    0.00    0.00    0.00   93.09
10:48:24 PM  all    1.00    0.00    3.01    0.00    0.00    1.75    0.00    0.00    0.00   94.24
10:48:25 PM  all    1.01    0.00    3.03    0.00    0.00    1.52    0.00    0.00    0.00   94.44
10:48:26 PM  all    0.00    0.00    3.01    0.00    0.00    2.76    0.00    0.00    0.00   94.24
10:48:27 PM  all    0.50    0.00    3.02    0.00    0.00    2.27    0.00    0.00    0.00   94.21
10:48:28 PM  all    1.00    0.00    3.00    0.00    0.00    2.50    0.00    0.00    0.00   93.50
10:48:29 PM  all    0.75    0.00    2.51    0.00    0.00    1.76    0.00    0.00    0.00   94.97
10:48:30 PM  all    0.74    0.00    3.47    0.00    0.00    2.72    0.00    0.00    0.00   93.07
10:48:31 PM  all    1.73    0.00    2.96    0.00    0.00    2.22    0.00    0.00    0.00   93.09
10:48:32 PM  all    0.51    0.00    2.53    0.25    0.00    1.26    0.00    0.00    0.00   95.45
10:48:33 PM  all    1.98    0.00    2.96    0.00    0.00    2.47    0.00    0.00    0.00   92.59
10:48:34 PM  all    0.75    0.00    2.75    0.00    0.00    2.25    0.00    0.00    0.00   94.25
10:48:35 PM  all    0.76    0.00    2.54    0.00    0.00    1.27    0.00    0.00    0.00   95.43
10:48:36 PM  all    1.97    0.00    3.19    0.00    0.00    1.72    0.00    0.00    0.00   93.12
10:48:37 PM  all    0.76    0.00    2.27    0.00    0.00    2.27    0.00    0.00    0.00   94.71
10:48:38 PM  all    1.00    0.00    3.23    0.00    0.00    2.49    0.00    0.00    0.00   93.28
10:48:39 PM  all    0.74    0.00    3.47    0.00    0.00    1.98    0.00    0.00    0.00   93.81
10:48:40 PM  all    1.23    0.00    2.72    0.00    0.00    2.96    0.00    0.00    0.00   93.09
10:48:41 PM  all    0.76    0.00    3.03    0.00    0.00    0.76    0.00    0.00    0.00   95.45
10:48:42 PM  all    0.76    0.00    2.02    0.00    0.00    2.77    0.00    0.00    0.00   94.46
10:48:43 PM  all    1.25    0.00    3.75    0.00    0.00    1.50    0.00    0.00    0.00   93.50
10:48:44 PM  all    1.27    0.00    2.03    0.00    0.00    1.27    0.00    0.00    0.00   95.43
10:48:45 PM  all    0.75    0.00    3.26    0.00    0.00    1.75    0.00    0.00    0.00   94.24
10:48:46 PM  all    0.50    0.00    1.75    0.00    0.00    2.49    0.00    0.00    0.00   95.26
10:48:47 PM  all    0.50    0.00    2.02    0.25    0.00    1.76    0.00    0.00    0.00   95.47
