Linux 5.15.0-173-generic (csb-bench-host-huawei) 	08/17/2026 	_x86_64_	(4 CPU)

04:53:06 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:53:07 AM  all    2.95    0.00    6.14    0.00    0.00    1.47    0.00    0.00    0.00   89.43
04:53:08 AM  all    1.47    0.00    6.36    0.00    0.00    2.20    0.00    0.00    0.00   89.98
04:53:09 AM  all    1.74    0.00    3.73    0.00    0.00    2.99    0.00    0.00    0.00   91.54
04:53:10 AM  all    2.25    0.00    4.75    0.00    0.00    2.00    0.00    0.00    0.00   91.00
04:53:11 AM  all    2.22    0.00    3.70    0.00    0.00    2.72    0.00    0.00    0.00   91.36
04:53:12 AM  all    2.01    0.00    4.01    0.00    0.00    2.01    0.00    0.00    0.00   91.98
04:53:13 AM  all    1.28    0.00    3.57    0.00    0.00    1.53    0.00    0.00    0.00   93.62
04:53:14 AM  all    1.25    0.00    5.74    0.00    0.00    1.25    0.00    0.00    0.00   91.77
04:53:15 AM  all    1.51    0.00    3.78    0.00    0.00    1.76    0.00    0.00    0.00   92.95
04:53:16 AM  all    1.52    0.00    4.04    0.00    0.00    1.77    0.00    0.00    0.00   92.68
04:53:17 AM  all    1.78    0.00    3.55    0.25    0.00    1.02    0.00    0.00    0.00   93.40
04:53:18 AM  all    2.23    0.00    4.71    0.00    0.00    1.74    0.00    0.00    0.00   91.32
04:53:19 AM  all    2.03    0.00    3.54    0.00    0.00    2.28    0.00    0.00    0.00   92.15
04:53:20 AM  all    2.02    0.00    4.03    0.00    0.00    1.51    0.00    0.00    0.00   92.44
04:53:21 AM  all    1.77    0.00    4.30    0.00    0.00    1.27    0.00    0.00    0.00   92.66
04:53:22 AM  all    1.26    0.00    4.55    0.00    0.00    1.26    0.00    0.00    0.00   92.93
04:53:23 AM  all    1.99    0.00    4.48    0.00    0.00    1.99    0.00    0.00    0.00   91.54
04:53:24 AM  all    2.24    0.00    4.99    0.00    0.00    1.00    0.00    0.00    0.00   91.77
04:53:25 AM  all    1.77    0.00    3.54    0.00    0.00    1.27    0.00    0.00    0.00   93.42
04:53:26 AM  all    2.02    0.00    4.79    0.00    0.00    1.01    0.00    0.00    0.00   92.19
04:53:27 AM  all    1.51    0.00    4.27    0.00    0.00    2.01    0.00    0.00    0.00   92.21
04:53:28 AM  all    1.48    0.00    6.65    0.00    0.00    1.23    0.00    0.00    0.00   90.64
04:53:29 AM  all    2.70    0.00    5.41    0.00    0.00    1.23    0.00    0.00    0.00   90.66
04:53:30 AM  all    2.74    0.00    3.99    0.00    0.00    1.50    0.00    0.00    0.00   91.77
04:53:31 AM  all    2.03    0.00    4.06    0.00    0.00    1.27    0.00    0.00    0.00   92.64
04:53:32 AM  all    2.22    0.00    4.94    0.00    0.00    1.73    0.00    0.00    0.00   91.11
04:53:33 AM  all    2.51    0.00    4.01    0.00    0.00    0.75    0.00    0.00    0.00   92.73
04:53:34 AM  all    1.52    0.00    4.31    0.00    0.00    1.52    0.00    0.00    0.00   92.64
