Linux 5.15.0-173-generic (csb-bench-host-huawei) 	08/16/2026 	_x86_64_	(4 CPU)

02:45:29 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:45:30 AM  all    0.77    0.00    3.35    0.00    0.00    2.84    0.00    0.00    0.00   93.04
02:45:31 AM  all    0.00    0.00    3.03    0.00    0.00    5.56    0.00    0.00    0.00   91.41
02:45:32 AM  all    0.00    0.00    3.06    0.00    0.00    4.08    0.00    0.00    0.00   92.86
02:45:33 AM  all    0.00    0.00    4.00    0.00    0.00    5.00    0.00    0.00    0.00   91.00
02:45:34 AM  all    0.00    0.00    2.78    0.00    0.00    5.05    0.00    0.00    0.00   92.17
02:45:35 AM  all    0.00    0.00    3.53    0.00    0.00    4.53    0.00    0.00    0.00   91.94
02:45:36 AM  all    0.25    0.00    3.77    0.00    0.00    4.27    0.00    0.00    0.00   91.71
02:45:37 AM  all    0.51    0.00    3.28    0.00    0.00    3.79    0.00    0.00    0.00   92.42
02:45:38 AM  all    0.00    0.00    5.29    0.00    0.00    3.78    0.00    0.00    0.00   90.93
02:45:39 AM  all    0.00    0.00    3.02    0.00    0.00    5.29    0.00    0.00    0.00   91.69
02:45:40 AM  all    0.00    0.00    3.55    0.00    0.00    4.06    0.00    0.00    0.00   92.39
02:45:41 AM  all    0.00    0.00    4.24    0.00    0.00    4.74    0.00    0.00    0.00   91.02
02:45:42 AM  all    0.25    0.00    3.00    0.00    0.00    4.75    0.00    0.00    0.00   92.00
02:45:43 AM  all    0.00    0.00    3.30    0.00    0.00    3.55    0.00    0.00    0.00   93.15
02:45:44 AM  all    0.00    0.00    3.30    0.00    0.00    4.06    0.00    0.00    0.00   92.64
02:45:45 AM  all    0.00    0.00    3.02    0.25    0.00    5.29    0.00    0.00    0.00   91.44
02:45:46 AM  all    0.00    0.00    3.26    0.00    0.00    5.26    0.00    0.00    0.00   91.48
02:45:47 AM  all    0.00    0.00    3.28    0.00    0.00    4.55    0.00    0.00    0.00   92.17
02:45:48 AM  all    0.00    0.00    3.30    0.00    0.00    3.81    0.00    0.00    0.00   92.89
02:45:49 AM  all    0.00    0.00    4.24    0.00    0.00    4.99    0.00    0.00    0.00   90.77
02:45:50 AM  all    0.00    0.00    3.55    0.00    0.00    5.08    0.00    0.00    0.00   91.37
02:45:51 AM  all    0.00    0.00    2.30    0.00    0.00    4.59    0.00    0.00    0.00   93.11
02:45:52 AM  all    0.00    0.00    4.04    0.00    0.00    3.79    0.00    0.00    0.00   92.17
02:45:53 AM  all    0.00    0.00    2.29    0.00    0.00    4.07    0.00    0.00    0.00   93.64
02:45:54 AM  all    0.00    0.00    3.31    0.00    0.00    3.82    0.00    0.00    0.00   92.88
02:45:55 AM  all    0.00    0.00    3.77    0.00    0.00    4.52    0.00    0.00    0.00   91.71
02:45:56 AM  all    0.00    0.00    3.06    0.00    0.00    3.06    0.00    0.00    0.00   93.88
02:45:57 AM  all    0.00    0.00    4.01    0.00    0.00    5.26    0.00    0.00    0.00   90.73
02:45:58 AM  all    0.25    0.00    3.78    0.00    0.00    4.03    0.00    0.00    0.00   91.94
02:45:59 AM  all    0.00    0.00    3.51    0.00    0.00    5.26    0.00    0.00    0.00   91.23
02:46:00 AM  all    0.00    0.00    3.54    0.00    0.00    4.56    0.00    0.00    0.00   91.90
02:46:01 AM  all    0.00    0.00    3.55    0.00    0.00    4.31    0.00    0.00    0.00   92.13
02:46:02 AM  all    0.00    0.00    3.77    0.00    0.00    4.77    0.00    0.00    0.00   91.46
02:46:03 AM  all    0.00    0.00    3.32    0.00    0.00    4.08    0.00    0.00    0.00   92.60
02:46:04 AM  all    0.25    0.00    4.01    0.00    0.00    4.26    0.00    0.00    0.00   91.48
