Linux 5.15.0-173-generic (csb-bench-host-huawei) 	08/15/2026 	_x86_64_	(4 CPU)

10:26:44 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:26:45 PM  all    0.00    0.00    3.31    0.00    0.00    3.56    0.00    0.00    0.00   93.13
10:26:46 PM  all    0.00    0.00    2.60    0.00    0.00    3.12    0.00    0.00    0.00   94.27
10:26:47 PM  all    0.00    0.00    3.51    0.00    0.00    3.76    0.00    0.00    0.00   92.73
10:26:48 PM  all    0.00    0.00    3.81    0.00    0.00    2.79    0.00    0.00    0.00   93.40
10:26:49 PM  all    4.53    0.00   16.12    0.00    0.00    4.79    0.00    0.00    0.00   74.56
10:26:50 PM  all    0.51    0.00    3.79    0.00    0.00    4.55    0.00    0.00    0.00   91.16
10:26:51 PM  all    0.00    0.00    3.53    0.00    0.00    4.28    0.00    0.00    0.00   92.19
10:26:52 PM  all    0.00    0.00    3.80    0.00    0.00    4.05    0.00    0.00    0.00   92.15
10:26:53 PM  all    0.00    0.00    3.02    0.00    0.00    6.78    0.00    0.00    0.00   90.20
10:26:54 PM  all    0.00    0.00    3.78    0.00    0.00    5.54    0.00    0.00    0.00   90.68
10:26:55 PM  all    0.00    0.00    2.76    0.00    0.00    4.27    0.00    0.00    0.00   92.96
10:26:56 PM  all    0.00    0.00    3.54    0.25    0.00    4.80    0.00    0.00    0.00   91.41
10:26:57 PM  all    0.00    0.00    3.02    0.00    0.00    4.52    0.00    0.00    0.00   92.46
10:26:58 PM  all    0.25    0.00    4.00    0.00    0.00    5.50    0.00    0.00    0.00   90.25
10:26:59 PM  all    0.00    0.00    4.05    0.00    0.00    5.06    0.00    0.00    0.00   90.89
10:27:00 PM  all    0.00    0.00    2.33    0.00    0.00    2.33    0.00    0.00    0.00   95.35
10:27:01 PM  all    0.00    0.00    3.28    0.00    0.00    4.29    0.00    0.00    0.00   92.42
10:27:02 PM  all    0.00    0.00    3.58    0.00    0.00    4.35    0.00    0.00    0.00   92.07
10:27:03 PM  all    0.50    0.00    3.47    0.00    0.00    5.21    0.00    0.00    0.00   90.82
10:27:04 PM  all    0.00    0.00    2.81    0.00    0.00    4.34    0.00    0.00    0.00   92.86
10:27:05 PM  all    0.00    0.00    3.81    0.00    0.00    4.57    0.00    0.00    0.00   91.62
10:27:06 PM  all    0.00    0.00    3.75    0.00    0.00    3.75    0.00    0.00    0.00   92.50
10:27:07 PM  all    0.00    0.00    2.53    0.00    0.00    5.06    0.00    0.00    0.00   92.41
10:27:08 PM  all    0.00    0.00    4.25    0.00    0.00    5.50    0.00    0.00    0.00   90.25
10:27:09 PM  all    0.00    0.00    4.00    0.00    0.00    4.75    0.00    0.00    0.00   91.25
10:27:10 PM  all    0.00    0.00    3.56    0.00    0.00    4.07    0.00    0.00    0.00   92.37
10:27:11 PM  all    1.26    0.00    3.27    0.00    0.00    5.04    0.00    0.00    0.00   90.43
10:27:12 PM  all    0.00    0.00    3.29    0.00    0.00    3.29    0.00    0.00    0.00   93.42
10:27:13 PM  all    0.00    0.00    3.05    0.00    0.00    3.56    0.00    0.00    0.00   93.38
10:27:14 PM  all    0.00    0.00    3.08    0.00    0.00    3.08    0.00    0.00    0.00   93.85
10:27:15 PM  all    0.00    0.00    3.82    0.00    0.00    3.31    0.00    0.00    0.00   92.88
10:27:16 PM  all    0.25    0.00    4.02    0.00    0.00    4.27    0.00    0.00    0.00   91.46
10:27:17 PM  all    0.00    0.00    2.74    0.00    0.00    5.22    0.00    0.00    0.00   92.04
10:27:18 PM  all    0.26    0.00    5.36    0.00    0.00    4.59    0.00    0.00    0.00   89.80
10:27:19 PM  all    0.00    0.00    5.26    0.00    0.00    4.51    0.00    0.00    0.00   90.23
10:27:20 PM  all    0.00    0.00    3.75    0.25    0.00    4.50    0.00    0.00    0.00   91.50
10:27:21 PM  all    0.26    0.00    2.55    0.26    0.00    3.83    0.00    0.00    0.00   93.11
10:27:22 PM  all    0.00    0.00    3.32    0.00    0.00    3.32    0.00    0.00    0.00   93.35
10:27:23 PM  all    0.00    0.00    4.75    0.00    0.00    5.75    0.00    0.00    0.00   89.50
10:27:24 PM  all    0.26    0.00    2.04    0.00    0.00    4.08    0.00    0.00    0.00   93.62
10:27:25 PM  all    0.00    0.00    4.02    0.00    0.00    5.28    0.00    0.00    0.00   90.70
10:27:26 PM  all    0.00    0.00    4.33    0.00    0.00    3.82    0.00    0.00    0.00   91.86
10:27:27 PM  all    0.00    0.00    2.80    0.00    0.00    4.07    0.00    0.00    0.00   93.13
