Linux 5.15.0-173-generic (csb-bench-host-huawei) 	08/17/2026 	_x86_64_	(4 CPU)

12:53:33 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:53:34 AM  all    4.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.95
12:53:35 AM  all    2.27    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   97.22
12:53:36 AM  all    2.53    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   96.97
12:53:37 AM  all    3.25    0.00    0.00    0.00    0.00    0.50    0.00    0.00    0.00   96.25
12:53:38 AM  all    2.77    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   96.73
12:53:39 AM  all    3.26    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   95.74
12:53:40 AM  all    2.02    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   97.48
12:53:41 AM  all    3.74    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   95.51
12:53:42 AM  all    2.78    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.22
12:53:43 AM  all    2.53    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00   97.22
12:53:44 AM  all    3.00    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   96.00
12:53:45 AM  all    2.76    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   96.98
12:53:46 AM  all    3.25    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   95.75
12:53:47 AM  all    3.51    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.49
12:53:48 AM  all    3.73    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   95.52
12:53:49 AM  all    3.99    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   95.76
12:53:50 AM  all    2.26    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   96.98
12:53:51 AM  all    2.51    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   96.74
12:53:52 AM  all    3.74    0.00    1.50    1.50    0.00    0.50    0.00    0.00    0.00   92.77
12:53:53 AM  all    3.26    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   96.49
12:53:54 AM  all    1.78    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   97.96
12:53:55 AM  all    2.28    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   97.22
12:53:56 AM  all    3.01    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   96.74
12:53:57 AM  all    2.78    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00   96.97
12:53:58 AM  all    2.53    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   96.97
12:53:59 AM  all    3.02    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   96.73
12:54:00 AM  all    2.04    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   97.70
12:54:01 AM  all    3.49    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   96.01
12:54:02 AM  all    2.99    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   96.26
12:54:03 AM  all    3.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.02
12:54:04 AM  all    3.76    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.24
12:54:05 AM  all    2.77    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   96.73
12:54:06 AM  all    3.48    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   96.02
12:54:07 AM  all    3.72    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   95.78
12:54:08 AM  all    3.49    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   96.01
12:54:09 AM  all    3.53    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.47
12:54:10 AM  all    4.22    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   95.29
12:54:11 AM  all    3.28    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   95.71
12:54:12 AM  all    2.79    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.21
12:54:13 AM  all    4.24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.76
12:54:14 AM  all    2.04    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   97.71
12:54:15 AM  all    2.03    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   97.47
12:54:16 AM  all    3.48    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   95.77
12:54:17 AM  all    2.51    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   96.98
12:54:18 AM  all    3.99    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   95.76
12:54:19 AM  all    2.51    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   96.49
12:54:20 AM  all    2.75    0.00    0.25    0.00    0.00    0.50    0.00    0.00    0.00   96.50
12:54:21 AM  all    2.02    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   97.73
12:54:22 AM  all    2.78    0.00    0.25    0.51    0.00    0.25    0.00    0.00    0.00   96.21
12:54:23 AM  all    2.76    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   96.73
12:54:24 AM  all    2.53    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   97.22
12:54:25 AM  all    2.51    0.00    0.25    0.00    0.00    0.75    0.00    0.00    0.00   96.48
12:54:26 AM  all    2.77    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   96.98
12:54:27 AM  all    3.26    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   96.49
12:54:28 AM  all    1.53    0.00    0.25    0.00    0.00    0.51    0.00    0.00    0.00   97.71
12:54:29 AM  all    3.26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.74
12:54:30 AM  all    2.76    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   96.73
12:54:31 AM  all    2.50    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   96.50
12:54:32 AM  all    3.28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.72
12:54:33 AM  all    2.78    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.22
12:54:34 AM  all    3.02    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   96.23
12:54:35 AM  all    3.04    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   96.71
12:54:36 AM  all    3.53    0.00    0.25    0.00    0.00    0.50    0.00    0.00    0.00   95.72
12:54:37 AM  all    3.82    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   95.93
12:54:38 AM  all    3.77    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   95.98
12:54:39 AM  all    3.52    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   95.48
12:54:40 AM  all    4.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   95.00
12:54:41 AM  all    4.27    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   95.23
12:54:42 AM  all    4.24    0.00    0.75    0.00    0.00    0.50    0.00    0.00    0.00   94.51
12:54:43 AM  all    4.28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.72
12:54:44 AM  all    3.82    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   95.67
12:54:45 AM  all    4.03    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   95.47
12:54:46 AM  all    4.51    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   94.74
12:54:47 AM  all    4.51    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   94.99
12:54:48 AM  all    3.54    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   95.96
12:54:49 AM  all    4.75    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   94.75
12:54:50 AM  all    4.51    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   94.49
12:54:51 AM  all    4.96    0.00    0.74    0.00    0.00    0.00    0.00    0.00    0.00   94.29
12:54:52 AM  all    4.27    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   95.23
12:54:53 AM  all    3.56    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.44
12:54:54 AM  all    3.53    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   95.97
12:54:55 AM  all    3.80    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   95.95
12:54:56 AM  all    4.01    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   94.99
12:54:57 AM  all    4.95    0.00    0.99    0.25    0.00    0.25    0.00    0.00    0.00   93.56
12:54:58 AM  all    3.56    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   95.93
12:54:59 AM  all    3.78    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   95.72
12:55:00 AM  all    4.01    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   94.99
12:55:01 AM  all    3.54    0.00    0.25    0.51    0.00    0.51    0.00    0.00    0.00   95.20
12:55:02 AM  all    3.26    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   95.74
12:55:03 AM  all    3.81    0.00    0.25    0.25    0.00    0.00    0.00    0.00    0.00   95.69
12:55:04 AM  all    3.76    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   95.49
12:55:05 AM  all    4.05    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   95.44
12:55:06 AM  all    5.20    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   94.06
12:55:07 AM  all    3.52    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   95.48
12:55:08 AM  all    4.99    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   94.26
12:55:09 AM  all    4.01    0.00    0.00    0.00    0.00    0.75    0.00    0.00    0.00   95.24
12:55:10 AM  all    3.79    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   95.71
12:55:11 AM  all    6.45    0.00    0.74    0.00    0.00    0.00    0.00    0.00    0.00   92.80
12:55:12 AM  all    3.77    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   95.23
12:55:13 AM  all    4.55    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   94.95
12:55:14 AM  all    5.71    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   93.55
12:55:15 AM  all    3.79    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   95.71
12:55:16 AM  all    3.52    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   95.98
12:55:17 AM  all    4.49    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   94.76
12:55:18 AM  all    2.55    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   97.19
12:55:19 AM  all    3.30    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   96.19
12:55:20 AM  all    4.02    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   95.48
12:55:21 AM  all    3.28    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   95.96
12:55:22 AM  all    4.76    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   94.49
12:55:23 AM  all    3.77    0.00    0.25    0.00    0.00    0.50    0.00    0.00    0.00   95.48
12:55:24 AM  all    4.95    0.00    0.74    0.00    0.00    0.25    0.00    0.00    0.00   94.06
