Linux 5.15.0-173-generic (csb-bench-host-huawei) 	08/16/2026 	_x86_64_	(4 CPU)

10:33:37 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:33:38 PM  all   13.09    0.00    2.47    0.00    0.00    0.74    0.00    0.00    0.00   83.70
10:33:39 PM  all    9.85    0.00    1.52    0.00    0.00    0.76    0.00    0.00    0.00   87.88
10:33:40 PM  all   10.63    0.00    0.51    0.00    0.00    1.01    0.00    0.00    0.00   87.85
10:33:41 PM  all    9.64    0.00    1.02    0.00    0.00    0.76    0.00    0.00    0.00   88.58
10:33:42 PM  all   10.33    0.00    1.51    0.00    0.00    1.01    0.00    0.00    0.00   87.15
10:33:43 PM  all   12.00    0.00    1.00    0.00    0.00    1.25    0.00    0.00    0.00   85.75
10:33:44 PM  all   10.53    0.00    1.50    0.00    0.00    1.00    0.00    0.00    0.00   86.97
10:33:45 PM  all   10.61    0.00    0.76    0.00    0.00    1.01    0.00    0.00    0.00   87.63
10:33:46 PM  all   10.58    0.00    1.51    0.00    0.00    1.26    0.00    0.00    0.00   86.65
10:33:47 PM  all    9.72    0.00    0.77    0.00    0.00    0.51    0.00    0.00    0.00   89.00
10:33:48 PM  all    9.07    0.00    0.50    0.25    0.00    2.02    0.00    0.00    0.00   88.16
10:33:49 PM  all   10.47    0.00    0.50    0.00    0.00    1.00    0.00    0.00    0.00   88.03
10:33:50 PM  all   11.72    0.00    0.75    0.00    0.00    1.00    0.00    0.00    0.00   86.53
10:33:51 PM  all   13.08    0.00    0.97    0.00    0.00    1.21    0.00    0.00    0.00   84.75
10:33:52 PM  all   10.15    0.00    1.02    0.00    0.00    0.76    0.00    0.00    0.00   88.07
10:33:53 PM  all   11.97    0.00    0.75    0.00    0.00    1.25    0.00    0.00    0.00   86.03
10:33:54 PM  all   10.78    0.00    0.75    0.00    0.00    0.75    0.00    0.00    0.00   87.72
10:33:55 PM  all   11.63    0.00    1.24    0.00    0.00    0.99    0.00    0.00    0.00   86.14
10:33:56 PM  all    9.21    0.00    0.51    0.00    0.00    1.02    0.00    0.00    0.00   89.26
10:33:57 PM  all   11.87    0.00    0.76    0.00    0.00    1.26    0.00    0.00    0.00   86.11
10:33:58 PM  all   10.69    0.00    0.76    0.00    0.00    1.02    0.00    0.00    0.00   87.53
10:33:59 PM  all   12.90    0.00    0.99    0.00    0.00    1.74    0.00    0.00    0.00   84.37
10:34:00 PM  all   10.13    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   87.85
10:34:01 PM  all   11.69    0.00    0.75    0.00    0.00    1.74    0.00    0.00    0.00   85.82
10:34:02 PM  all    8.70    0.00    0.00    0.00    0.00    1.02    0.00    0.00    0.00   90.28
10:34:03 PM  all   11.03    0.00    0.25    0.00    0.00    1.25    0.00    0.00    0.00   87.47
10:34:04 PM  all   10.47    0.00    1.75    0.00    0.00    1.25    0.00    0.00    0.00   86.53
10:34:05 PM  all    9.69    0.00    1.28    0.00    0.00    0.77    0.00    0.00    0.00   88.27
10:34:06 PM  all    9.28    0.00    0.77    0.00    0.00    0.52    0.00    0.00    0.00   89.43
10:34:07 PM  all   10.91    0.00    0.51    0.00    0.00    1.78    0.00    0.00    0.00   86.80
10:34:08 PM  all   12.66    0.00    0.74    0.00    0.00    1.74    0.00    0.00    0.00   84.86
10:34:09 PM  all   12.29    0.00    0.98    0.00    0.00    1.47    0.00    0.00    0.00   85.26
10:34:10 PM  all   10.08    0.00    1.01    0.00    0.00    1.76    0.00    0.00    0.00   87.15
10:34:11 PM  all   13.58    0.00    0.74    0.00    0.00    0.99    0.00    0.00    0.00   84.69
10:34:12 PM  all   11.78    0.00    0.50    0.00    0.00    0.75    0.00    0.00    0.00   86.97
10:34:13 PM  all   10.55    0.00    1.51    0.00    0.00    0.75    0.00    0.00    0.00   87.19
10:34:14 PM  all   10.83    0.00    0.76    0.00    0.00    1.26    0.00    0.00    0.00   87.15
10:34:15 PM  all   10.55    0.00    0.75    0.00    0.00    0.75    0.00    0.00    0.00   87.94
10:34:16 PM  all   10.83    0.00    0.76    0.00    0.00    1.01    0.00    0.00    0.00   87.41
10:34:17 PM  all   10.30    0.00    1.01    0.00    0.00    1.26    0.00    0.00    0.00   87.44
10:34:18 PM  all   10.13    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   87.85
10:34:19 PM  all   11.17    0.00    1.24    0.00    0.00    1.24    0.00    0.00    0.00   86.35
10:34:20 PM  all   12.41    0.00    0.99    0.00    0.00    1.24    0.00    0.00    0.00   85.36
10:34:21 PM  all   10.08    0.00    0.76    0.00    0.00    0.50    0.00    0.00    0.00   88.66
10:34:22 PM  all    9.25    0.00    0.77    0.00    0.00    1.03    0.00    0.00    0.00   88.95
10:34:23 PM  all    9.98    0.00    1.25    0.25    0.00    1.25    0.00    0.00    0.00   87.28
10:34:24 PM  all   11.47    0.00    1.00    0.00    0.00    1.50    0.00    0.00    0.00   86.03
10:34:25 PM  all   12.50    0.00    1.23    0.00    0.00    1.23    0.00    0.00    0.00   85.05
10:34:26 PM  all   12.44    0.00    0.25    0.00    0.00    1.00    0.00    0.00    0.00   86.32
10:34:27 PM  all   10.10    0.00    1.26    0.00    0.00    1.01    0.00    0.00    0.00   87.63
10:34:28 PM  all   12.47    0.00    1.22    0.00    0.00    1.22    0.00    0.00    0.00   85.09
10:34:29 PM  all    8.93    0.00    0.77    0.00    0.00    1.02    0.00    0.00    0.00   89.29
10:34:30 PM  all   11.17    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   87.82
10:34:31 PM  all   13.20    0.00    1.22    0.00    0.00    1.22    0.00    0.00    0.00   84.35
10:34:32 PM  all   13.58    0.00    1.48    0.00    0.00    1.23    0.00    0.00    0.00   83.70
10:34:33 PM  all   11.11    0.00    0.76    0.00    0.00    1.26    0.00    0.00    0.00   86.87
10:34:34 PM  all   10.86    0.00    0.51    0.00    0.00    0.76    0.00    0.00    0.00   87.88
10:34:35 PM  all   11.06    0.00    0.50    0.00    0.00    1.01    0.00    0.00    0.00   87.44
10:34:36 PM  all    9.50    0.00    0.75    0.00    0.00    1.50    0.00    0.00    0.00   88.25
10:34:37 PM  all   11.00    0.00    1.00    0.00    0.00    0.75    0.00    0.00    0.00   87.25
10:34:38 PM  all   12.29    0.00    1.23    0.00    0.00    1.72    0.00    0.00    0.00   84.77
10:34:39 PM  all   13.05    0.00    1.23    0.00    0.00    2.71    0.00    0.00    0.00   83.00
10:34:40 PM  all   14.25    0.00    1.25    0.00    0.00    1.50    0.00    0.00    0.00   83.00
10:34:41 PM  all   14.54    0.00    0.50    0.00    0.00    2.01    0.00    0.00    0.00   82.96
10:34:42 PM  all   14.90    0.00    0.51    0.00    0.00    1.26    0.00    0.00    0.00   83.33
10:34:43 PM  all   13.32    0.00    2.01    0.00    0.00    2.01    0.00    0.00    0.00   82.66
10:34:44 PM  all   15.84    0.00    1.24    0.00    0.00    2.23    0.00    0.00    0.00   80.69
10:34:45 PM  all   15.17    0.00    1.24    0.00    0.00    1.74    0.00    0.00    0.00   81.84
10:34:46 PM  all   13.52    0.00    1.28    0.00    0.00    1.79    0.00    0.00    0.00   83.42
10:34:47 PM  all   13.78    0.00    1.79    0.00    0.00    1.79    0.00    0.00    0.00   82.65
10:34:48 PM  all   14.79    0.00    1.50    0.25    0.00    2.51    0.00    0.00    0.00   80.95
10:34:49 PM  all   14.04    0.00    1.25    0.00    0.00    2.01    0.00    0.00    0.00   82.71
10:34:50 PM  all   17.20    0.00    1.23    0.00    0.00    0.98    0.00    0.00    0.00   80.59
10:34:51 PM  all   13.42    0.00    1.27    0.00    0.00    1.52    0.00    0.00    0.00   83.80
10:34:52 PM  all   14.50    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   83.46
10:34:53 PM  all   14.11    0.00    2.02    0.00    0.00    1.76    0.00    0.00    0.00   82.12
10:34:54 PM  all   14.50    0.00    0.25    0.00    0.00    1.78    0.00    0.00    0.00   83.46
10:34:55 PM  all   13.82    0.00    1.01    0.00    0.00    1.51    0.00    0.00    0.00   83.67
10:34:56 PM  all   13.97    0.00    0.75    0.00    0.00    2.49    0.00    0.00    0.00   82.79
10:34:57 PM  all   12.05    0.00    2.05    0.00    0.00    1.54    0.00    0.00    0.00   84.36
10:34:58 PM  all   13.78    0.00    1.28    0.00    0.00    1.28    0.00    0.00    0.00   83.67
10:34:59 PM  all   14.68    0.00    1.49    0.00    0.00    2.49    0.00    0.00    0.00   81.34
10:35:00 PM  all   14.32    0.00    1.26    0.00    0.00    3.02    0.00    0.00    0.00   81.41
10:35:01 PM  all   16.25    0.00    1.75    0.00    0.00    2.00    0.00    0.00    0.00   80.00
10:35:02 PM  all   14.07    0.00    1.48    0.49    0.00    2.22    0.00    0.00    0.00   81.73
10:35:03 PM  all   13.89    0.00    0.76    0.00    0.00    1.77    0.00    0.00    0.00   83.59
10:35:04 PM  all   15.83    0.00    1.26    0.00    0.00    1.76    0.00    0.00    0.00   81.16
10:35:05 PM  all   15.62    0.00    1.01    0.00    0.00    1.51    0.00    0.00    0.00   81.86
10:35:06 PM  all   16.71    0.00    1.72    0.00    0.00    2.46    0.00    0.00    0.00   79.12
10:35:07 PM  all   14.21    0.00    0.76    0.00    0.00    2.28    0.00    0.00    0.00   82.74
10:35:08 PM  all   16.87    0.00    0.73    0.24    0.00    2.69    0.00    0.00    0.00   79.46
10:35:09 PM  all   15.21    0.00    1.50    0.00    0.00    1.50    0.00    0.00    0.00   81.80
10:35:10 PM  all   15.50    0.00    1.25    0.00    0.00    2.25    0.00    0.00    0.00   81.00
10:35:11 PM  all   15.83    0.00    1.51    0.00    0.00    2.01    0.00    0.00    0.00   80.65
10:35:12 PM  all   15.76    0.00    1.72    0.00    0.00    2.96    0.00    0.00    0.00   79.56
10:35:13 PM  all   16.54    0.00    0.99    0.00    0.00    1.48    0.00    0.00    0.00   80.99
10:35:14 PM  all   15.25    0.00    1.00    0.00    0.00    2.75    0.00    0.00    0.00   81.00
10:35:15 PM  all   15.08    0.00    1.26    0.00    0.00    0.75    0.00    0.00    0.00   82.91
10:35:16 PM  all   14.68    0.00    1.49    0.00    0.00    2.99    0.00    0.00    0.00   80.85
10:35:17 PM  all   16.59    0.00    1.46    0.00    0.00    2.20    0.00    0.00    0.00   79.76
10:35:18 PM  all   13.01    0.00    0.77    0.00    0.00    2.30    0.00    0.00    0.00   83.93
10:35:19 PM  all   14.89    0.00    1.24    0.00    0.00    2.48    0.00    0.00    0.00   81.39
10:35:20 PM  all   15.11    0.00    0.76    0.00    0.00    1.51    0.00    0.00    0.00   82.62
10:35:21 PM  all   17.16    0.00    1.47    0.00    0.00    1.23    0.00    0.00    0.00   80.15
10:35:22 PM  all   15.31    0.00    1.23    0.00    0.00    2.72    0.00    0.00    0.00   80.74
10:35:23 PM  all   13.97    0.00    1.75    0.00    0.00    2.49    0.00    0.00    0.00   81.80
10:35:24 PM  all   14.50    0.00    1.25    0.00    0.00    2.25    0.00    0.00    0.00   82.00
10:35:25 PM  all   13.89    0.00    1.26    0.00    0.00    1.26    0.00    0.00    0.00   83.59
10:35:26 PM  all   14.94    0.00    1.77    0.00    0.00    0.76    0.00    0.00    0.00   82.53
10:35:27 PM  all   15.69    0.00    1.96    0.00    0.00    1.96    0.00    0.00    0.00   80.39
10:35:28 PM  all   16.91    0.00    0.49    0.00    0.00    1.47    0.00    0.00    0.00   81.13
10:35:29 PM  all   15.80    0.00    1.23    0.00    0.00    1.73    0.00    0.00    0.00   81.23
10:35:30 PM  all   13.49    0.00    1.27    0.00    0.00    1.27    0.00    0.00    0.00   83.97
10:35:31 PM  all   14.57    0.00    0.99    0.00    0.00    2.96    0.00    0.00    0.00   81.48
10:35:32 PM  all   15.33    0.00    2.01    0.00    0.00    1.51    0.00    0.00    0.00   81.16
10:35:33 PM  all   17.36    0.00    1.47    0.00    0.00    1.47    0.00    0.00    0.00   79.71
10:35:34 PM  all   16.12    0.00    0.50    0.00    0.00    1.76    0.00    0.00    0.00   81.61
10:35:35 PM  all   15.93    0.00    1.72    0.00    0.00    1.96    0.00    0.00    0.00   80.39
10:35:36 PM  all   16.26    0.00    1.48    0.00    0.00    1.72    0.00    0.00    0.00   80.54
10:35:37 PM  all   15.14    0.00    1.24    0.00    0.00    1.99    0.00    0.00    0.00   81.64
10:35:38 PM  all   15.01    0.00    1.02    0.00    0.00    1.53    0.00    0.00    0.00   82.44
10:35:39 PM  all   14.85    0.00    2.72    0.00    0.00    1.98    0.00    0.00    0.00   80.45
10:35:40 PM  all   15.37    0.00    1.01    0.00    0.00    3.02    0.00    0.00    0.00   80.60
10:35:41 PM  all   16.38    0.00    0.50    0.00    0.00    1.74    0.00    0.00    0.00   81.39
10:35:42 PM  all   15.67    0.00    1.49    0.00    0.00    0.75    0.00    0.00    0.00   82.09
10:35:43 PM  all   16.18    0.00    0.98    0.00    0.00    2.94    0.00    0.00    0.00   79.90
10:35:44 PM  all   17.08    0.00    0.99    0.00    0.00    1.49    0.00    0.00    0.00   80.45
10:35:45 PM  all   16.41    0.00    1.79    0.00    0.00    1.03    0.00    0.00    0.00   80.77
10:35:46 PM  all   17.13    0.00    1.76    0.00    0.00    2.27    0.00    0.00    0.00   78.84
10:35:47 PM  all   19.40    0.00    1.49    0.00    0.00    2.49    0.00    0.00    0.00   76.62
10:35:48 PM  all   21.81    0.00    2.45    0.25    0.00    2.45    0.00    0.00    0.00   73.04
10:35:49 PM  all   23.19    0.00    1.00    0.00    0.00    2.24    0.00    0.00    0.00   73.57
10:35:50 PM  all   23.19    0.00    1.50    0.00    0.00    2.74    0.00    0.00    0.00   72.57
10:35:51 PM  all   21.37    0.00    1.53    0.00    0.00    3.82    0.00    0.00    0.00   73.28
10:35:52 PM  all   25.31    0.00    1.23    0.00    0.00    2.95    0.00    0.00    0.00   70.52
10:35:53 PM  all   23.56    0.00    1.50    0.00    0.00    3.26    0.00    0.00    0.00   71.68
