Linux 5.15.0-173-generic (csb-bench-host-huawei) 	08/17/2026 	_x86_64_	(4 CPU)

01:57:03 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:57:04 AM  all   10.54    0.00    3.34    0.00    0.00    4.88    0.00    0.00    0.00   81.23
01:57:05 AM  all    5.63    0.00    1.53    0.00    0.00    3.32    0.00    0.00    0.00   89.51
01:57:06 AM  all   11.60    0.00    2.58    0.00    0.00    6.19    0.00    0.00    0.00   79.64
01:57:07 AM  all   10.36    0.00    2.85    0.00    0.00    5.70    0.00    0.00    0.00   81.09
01:57:08 AM  all   12.53    0.00    2.05    0.00    0.00    5.37    0.00    0.00    0.00   80.05
01:57:09 AM  all   11.43    0.00    2.08    0.26    0.00    5.97    0.00    0.00    0.00   80.26
01:57:10 AM  all   12.21    0.00    1.53    0.00    0.00    7.63    0.00    0.00    0.00   78.63
01:57:11 AM  all   12.66    0.00    2.58    0.00    0.00    6.72    0.00    0.00    0.00   78.04
01:57:12 AM  all   11.28    0.00    1.79    0.00    0.00    6.67    0.00    0.00    0.00   80.26
01:57:13 AM  all   12.47    0.00    1.56    0.00    0.00    4.94    0.00    0.00    0.00   81.04
01:57:14 AM  all    9.90    0.00    2.86    0.00    0.00    6.51    0.00    0.00    0.00   80.73
01:57:15 AM  all    4.29    0.00    0.51    0.00    0.00    2.02    0.00    0.00    0.00   93.18
01:57:16 AM  all   10.85    0.00    2.33    0.00    0.00    6.72    0.00    0.00    0.00   80.10
01:57:17 AM  all   11.57    0.00    1.54    0.00    0.00    6.94    0.00    0.00    0.00   79.95
01:57:18 AM  all   11.00    0.00    2.81    0.00    0.00    5.37    0.00    0.00    0.00   80.82
01:57:19 AM  all    8.97    0.00    1.54    0.00    0.00    4.36    0.00    0.00    0.00   85.13
01:57:20 AM  all    9.00    0.00    2.57    0.26    0.00    5.40    0.00    0.00    0.00   82.78
01:57:21 AM  all    9.97    0.00    1.53    0.00    0.00    4.86    0.00    0.00    0.00   83.63
01:57:22 AM  all   10.00    0.00    2.31    0.00    0.00    5.38    0.00    0.00    0.00   82.31
01:57:23 AM  all    9.35    0.00    2.86    0.00    0.00    6.23    0.00    0.00    0.00   81.56
01:57:24 AM  all    4.04    0.00    0.76    0.00    0.00    2.02    0.00    0.00    0.00   93.18
01:57:25 AM  all    5.06    0.00    0.76    0.00    0.00    2.28    0.00    0.00    0.00   91.90
01:57:26 AM  all   10.20    0.00    2.55    0.00    0.00    7.40    0.00    0.00    0.00   79.85
01:57:27 AM  all    9.97    0.00    2.30    0.00    0.00    5.63    0.00    0.00    0.00   82.10
01:57:28 AM  all   10.57    0.00    2.06    0.00    0.00    5.67    0.00    0.00    0.00   81.70
01:57:29 AM  all   10.36    0.00    2.33    0.00    0.00    4.66    0.00    0.00    0.00   82.64
01:57:30 AM  all   10.54    0.00    2.06    0.00    0.00    6.94    0.00    0.00    0.00   80.46
01:57:31 AM  all    9.95    0.00    2.55    0.00    0.00    6.12    0.00    0.00    0.00   81.38
01:57:32 AM  all   10.23    0.00    2.30    0.00    0.00    6.14    0.00    0.00    0.00   81.33
01:57:33 AM  all   10.57    0.00    1.55    0.26    0.00    4.90    0.00    0.00    0.00   82.73
01:57:34 AM  all   10.26    0.00    1.54    0.00    0.00    6.15    0.00    0.00    0.00   82.05
01:57:35 AM  all    9.64    0.00    1.78    0.00    0.00    6.09    0.00    0.00    0.00   82.49
01:57:36 AM  all   10.08    0.00    1.81    0.52    0.00    5.17    0.00    0.00    0.00   82.43
01:57:37 AM  all   11.51    0.00    1.79    0.00    0.00    5.12    0.00    0.00    0.00   81.59
01:57:38 AM  all    8.21    0.00    2.05    0.00    0.00    5.13    0.00    0.00    0.00   84.62
01:57:39 AM  all    9.18    0.00    2.55    0.00    0.00    5.10    0.00    0.00    0.00   83.16
01:57:40 AM  all    8.63    0.00    2.28    0.00    0.00    5.58    0.00    0.00    0.00   83.50
01:57:41 AM  all    9.64    0.00    2.03    0.25    0.00    6.35    0.00    0.00    0.00   81.73
01:57:42 AM  all    8.38    0.00    1.78    0.00    0.00    5.33    0.00    0.00    0.00   84.52
01:57:43 AM  all    9.79    0.00    1.55    0.00    0.00    5.67    0.00    0.00    0.00   82.99
01:57:44 AM  all    9.09    0.00    1.77    0.00    0.00    6.06    0.00    0.00    0.00   83.08
01:57:45 AM  all   11.14    0.00    1.52    0.00    0.00    5.32    0.00    0.00    0.00   82.03
01:57:46 AM  all    9.14    0.00    2.03    0.00    0.00    5.33    0.00    0.00    0.00   83.50
01:57:47 AM  all   11.25    0.00    2.56    0.00    0.00    5.88    0.00    0.00    0.00   80.31
01:57:48 AM  all   10.34    0.00    2.33    0.00    0.00    4.91    0.00    0.00    0.00   82.43
01:57:49 AM  all    8.72    0.00    1.54    0.00    0.00    5.13    0.00    0.00    0.00   84.62
01:57:50 AM  all    9.54    0.00    2.06    0.00    0.00    5.41    0.00    0.00    0.00   82.99
01:57:51 AM  all    9.97    0.00    2.05    0.00    0.00    5.37    0.00    0.00    0.00   82.61
01:57:52 AM  all    9.84    0.00    2.33    0.00    0.00    5.18    0.00    0.00    0.00   82.64
01:57:53 AM  all    7.59    0.00    2.03    0.00    0.00    5.82    0.00    0.00    0.00   84.56
01:57:54 AM  all   10.77    0.00    1.79    0.00    0.00    5.13    0.00    0.00    0.00   82.31
01:57:55 AM  all   10.18    0.00    1.27    0.00    0.00    5.34    0.00    0.00    0.00   83.21
01:57:56 AM  all    9.44    0.00    2.30    0.00    0.00    5.10    0.00    0.00    0.00   83.16
01:57:57 AM  all   10.74    0.00    0.77    0.00    0.00    5.37    0.00    0.00    0.00   83.12
01:57:58 AM  all    9.21    0.00    2.56    0.00    0.00    4.60    0.00    0.00    0.00   83.63
01:57:59 AM  all    9.62    0.00    2.53    0.00    0.00    6.33    0.00    0.00    0.00   81.52
01:58:00 AM  all    9.77    0.00    2.06    0.00    0.00    5.66    0.00    0.00    0.00   82.52
01:58:01 AM  all    2.79    0.00    0.76    0.00    0.00    1.78    0.00    0.00    0.00   94.67
01:58:02 AM  all    7.14    0.00    2.55    0.00    0.00    3.83    0.00    0.00    0.00   86.48
01:58:03 AM  all    7.38    0.00    1.27    0.00    0.00    4.83    0.00    0.00    0.00   86.51
01:58:04 AM  all    7.12    0.00    0.76    0.00    0.00    3.56    0.00    0.00    0.00   88.55
01:58:05 AM  all    6.11    0.00    1.78    0.00    0.00    3.56    0.00    0.00    0.00   88.55
01:58:06 AM  all    7.12    0.00    1.02    0.00    0.00    3.82    0.00    0.00    0.00   88.04
01:58:07 AM  all    3.02    0.00    0.50    0.00    0.00    2.27    0.00    0.00    0.00   94.21
01:58:08 AM  all    7.04    0.00    1.01    0.00    0.00    4.77    0.00    0.00    0.00   87.19
01:58:09 AM  all    5.82    0.00    1.27    0.00    0.00    4.05    0.00    0.00    0.00   88.86
01:58:10 AM  all    5.85    0.00    1.27    0.00    0.00    3.56    0.00    0.00    0.00   89.31
