Linux 5.15.0-173-generic (csb-bench-host-huawei) 	08/16/2026 	_x86_64_	(4 CPU)

11:39:59 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:40:00 PM  all   32.91    0.00   10.71    0.00    0.00   40.31    0.00    0.00    0.00   16.07
11:40:01 PM  all   27.39    0.00    7.71    0.00    0.00   30.32    0.00    0.00    0.00   34.57
11:40:02 PM  all   33.25    0.00    9.21    0.00    0.00   41.18    0.00    0.00    0.00   16.37
11:40:03 PM  all   30.42    0.00    9.26    0.00    0.00   39.68    0.00    0.00    0.00   20.63
11:40:04 PM  all   29.06    0.00    7.85    0.00    0.00   45.29    0.00    0.00    0.00   17.80
11:40:05 PM  all   29.92    0.00    8.92    0.00    0.00   41.99    0.00    0.00    0.00   19.16
11:40:06 PM  all   28.65    0.00   10.16    0.00    0.00   42.19    0.00    0.00    0.00   19.01
11:40:07 PM  all   33.25    0.00    8.44    0.00    0.00   41.69    0.00    0.00    0.00   16.62
11:40:08 PM  all   29.06    0.00    9.95    0.00    0.00   44.50    0.00    0.00    0.00   16.49
11:40:09 PM  all   27.97    0.00    8.97    0.00    0.00   37.20    0.00    0.00    0.00   25.86
11:40:10 PM  all   29.95    0.00   10.91    0.76    0.00   42.89    0.00    0.00    0.00   15.48
11:40:11 PM  all   30.39    0.00    9.09    0.00    0.00   41.56    0.00    0.00    0.00   18.96
11:40:12 PM  all   28.80    0.00    9.95    0.00    0.00   43.72    0.00    0.00    0.00   17.54
11:40:13 PM  all   30.05    0.00    8.55    0.00    0.00   43.01    0.00    0.00    0.00   18.39
11:40:14 PM  all   30.43    0.00    7.07    0.00    0.00   37.23    0.00    0.00    0.00   25.27
11:40:15 PM  all   29.52    0.00    8.51    0.00    0.00   39.63    0.00    0.00    0.00   22.34
11:40:16 PM  all   29.27    0.00    8.55    0.00    0.00   43.52    0.00    0.00    0.00   18.65
11:40:17 PM  all   28.04    0.00    9.26    0.00    0.00   41.53    0.00    0.00    0.00   21.16
11:40:18 PM  all   27.51    0.00    9.26    0.00    0.00   39.15    0.00    0.00    0.00   24.07
11:40:19 PM  all   30.21    0.00    7.75    0.00    0.00   43.32    0.00    0.00    0.00   18.72
11:40:20 PM  all   31.05    0.00    9.47    0.00    0.00   38.42    0.00    0.00    0.00   21.05
11:40:21 PM  all   28.19    0.00    9.04    0.00    0.00   38.56    0.00    0.00    0.00   24.20
11:40:22 PM  all   31.94    0.00    7.85    0.00    0.00   39.53    0.00    0.00    0.00   20.68
11:40:23 PM  all   31.13    0.00    8.18    0.00    0.00   38.52    0.00    0.00    0.00   22.16
11:40:24 PM  all   31.44    0.00    9.02    0.00    0.00   46.13    0.00    0.00    0.00   13.40
