Linux 5.15.0-173-generic (csb-bench-host-huawei) 	08/17/2026 	_x86_64_	(4 CPU)

12:50:45 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:50:46 AM  all   34.51    0.00   16.37    0.00    0.00   41.56    0.00    0.00    0.00    7.56
12:50:47 AM  all   34.50    0.00    8.50    0.00    0.00   57.00    0.00    0.00    0.00    0.00
12:50:48 AM  all   32.17    0.00   10.47    0.00    0.00   57.36    0.00    0.00    0.00    0.00
12:50:49 AM  all   30.25    0.00    9.75    0.00    0.00   60.00    0.00    0.00    0.00    0.00
12:50:50 AM  all   32.83    0.00    9.27    0.00    0.00   57.89    0.00    0.00    0.00    0.00
12:50:51 AM  all   30.92    0.00    9.73    0.00    0.00   59.35    0.00    0.00    0.00    0.00
12:50:52 AM  all   32.83    0.00    7.77    0.00    0.00   59.40    0.00    0.00    0.00    0.00
12:50:53 AM  all   32.83    0.00    9.02    0.00    0.00   58.15    0.00    0.00    0.00    0.00
12:50:54 AM  all   29.60    0.00    9.45    0.00    0.00   60.95    0.00    0.00    0.00    0.00
12:50:55 AM  all   34.84    0.00    8.52    0.00    0.00   56.64    0.00    0.00    0.00    0.00
12:50:56 AM  all   31.67    0.00    8.48    0.00    0.00   59.85    0.00    0.00    0.00    0.00
12:50:57 AM  all   33.50    0.00    7.50    0.00    0.00   59.00    0.00    0.00    0.00    0.00
12:50:58 AM  all   31.00    0.00    9.50    0.00    0.00   59.50    0.00    0.00    0.00    0.00
12:50:59 AM  all   34.25    0.00    7.25    0.00    0.00   58.50    0.00    0.00    0.00    0.00
12:51:00 AM  all   29.75    0.00   10.00    0.00    0.00   60.25    0.00    0.00    0.00    0.00
12:51:01 AM  all   34.66    0.00    8.48    0.00    0.00   56.86    0.00    0.00    0.00    0.00
12:51:02 AM  all   26.82    0.00    8.77    0.00    0.00   64.41    0.00    0.00    0.00    0.00
12:51:03 AM  all   31.41    0.00    8.54    0.00    0.00   60.05    0.00    0.00    0.00    0.00
12:51:04 AM  all   33.33    0.00    8.96    0.00    0.00   57.71    0.00    0.00    0.00    0.00
12:51:05 AM  all   32.41    0.00    8.54    0.00    0.00   59.05    0.00    0.00    0.00    0.00
12:51:06 AM  all   28.43    0.00   10.97    0.00    0.00   60.60    0.00    0.00    0.00    0.00
12:51:07 AM  all   29.75    0.00   10.00    0.00    0.00   60.25    0.00    0.00    0.00    0.00
12:51:08 AM  all   33.42    0.00    9.48    0.00    0.00   57.11    0.00    0.00    0.00    0.00
12:51:09 AM  all   32.25    0.00   10.75    0.00    0.00   57.00    0.00    0.00    0.00    0.00
12:51:10 AM  all   30.25    0.00   11.00    0.00    0.00   58.75    0.00    0.00    0.00    0.00
12:51:11 AM  all   32.25    0.00    9.25    0.00    0.00   58.50    0.00    0.00    0.00    0.00
12:51:12 AM  all   29.07    0.00   10.03    0.00    0.00   60.90    0.00    0.00    0.00    0.00
12:51:13 AM  all   30.75    0.00    9.75    0.00    0.00   59.50    0.00    0.00    0.00    0.00
12:51:14 AM  all   31.67    0.00    8.48    0.00    0.00   59.85    0.00    0.00    0.00    0.00
12:51:15 AM  all   31.00    0.00    7.25    0.00    0.00   61.75    0.00    0.00    0.00    0.00
12:51:16 AM  all   29.18    0.00    8.48    0.00    0.00   62.34    0.00    0.00    0.00    0.00
12:51:17 AM  all   33.67    0.00    8.29    0.00    0.00   58.04    0.00    0.00    0.00    0.00
12:51:18 AM  all   29.43    0.00    9.98    0.00    0.00   60.60    0.00    0.00    0.00    0.00
12:51:19 AM  all   28.82    0.00    8.27    0.00    0.00   62.91    0.00    0.00    0.00    0.00
12:51:20 AM  all   31.84    0.00    8.96    0.00    0.00   59.20    0.00    0.00    0.00    0.00
12:51:21 AM  all   29.50    0.00    8.25    0.00    0.00   62.25    0.00    0.00    0.00    0.00
12:51:22 AM  all   29.75    0.00    9.00    0.00    0.00   61.25    0.00    0.00    0.00    0.00
12:51:23 AM  all   26.82    0.00    7.52    0.00    0.00   65.66    0.00    0.00    0.00    0.00
12:51:24 AM  all   30.77    0.00    8.93    0.00    0.00   60.30    0.00    0.00    0.00    0.00
12:51:25 AM  all   33.75    0.00    8.82    0.00    0.00   57.43    0.00    0.00    0.00    0.00
12:51:26 AM  all   33.25    0.00    8.25    0.00    0.00   58.50    0.00    0.00    0.00    0.00
12:51:27 AM  all   34.51    0.00    9.07    0.00    0.00   53.40    0.00    0.00    0.00    3.02
12:51:28 AM  all   14.44    0.00    4.46    0.00    0.00   14.70    0.00    0.00    0.00   66.40
12:51:29 AM  all   10.33    0.00    2.99    0.00    0.00    2.99    0.00    0.00    0.00   83.70
12:51:30 AM  all    2.25    0.00    0.75    0.00    0.00    0.50    0.00    0.00    0.00   96.50
12:51:31 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:51:32 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:51:33 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:51:34 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:51:35 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:51:36 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:51:37 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:51:38 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:51:39 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
