provider,paradigm,workload,levels,n_runs,cpu_gated_runs,beta,se,ci_lo,ci_hi,r2,saturation_level,flag,beta_gated_excl
alibaba,block,balanced,4,12,3,0.012,0.004,0.002,0.022,0.44,1,,0.011
alibaba,block,largeobj,4,12,6,-0.001,0.001,-0.002,0.001,0.057,1,,
alibaba,file,balanced,4,12,0,0.419,0.067,0.269,0.568,0.795,16,,0.419
alibaba,file,largeobj,4,12,0,0.002,0.003,-0.006,0.009,0.026,1,,0.002
alibaba,object,balanced,4,12,3,0.998,0.021,0.95,1.045,0.995,64,,1.066
alibaba,object,largeobj,4,12,0,0.336,0.071,0.178,0.494,0.692,16,,0.336
aws,block,balanced,4,12,0,0.077,0.02,0.033,0.121,0.6,4,,0.077
aws,block,largeobj,4,12,9,-0.004,0.0,-0.005,-0.003,0.891,1,,
aws,file,balanced,4,12,5,0.165,0.052,0.049,0.282,0.501,16,,0.463
aws,file,largeobj,4,12,5,0.031,0.14,-0.28,0.342,0.005,16,,0.258
aws,object,balanced,4,12,0,1.046,0.009,1.026,1.067,0.999,64,,1.046
aws,object,largeobj,4,12,5,0.577,0.067,0.428,0.726,0.881,16,,0.851
azure,block,balanced,4,12,0,-0.16,0.063,-0.301,-0.019,0.39,4,,-0.16
azure,block,largeobj,4,12,7,-0.002,0.004,-0.011,0.006,0.031,1,,
azure,file,balanced,4,12,0,0.696,0.069,0.542,0.85,0.91,16,,0.696
azure,file,largeobj,4,12,0,-0.028,0.062,-0.165,0.109,0.02,4,,-0.028
azure,object,balanced,4,12,6,0.363,0.08,0.185,0.541,0.674,16,,
azure,object,largeobj,4,12,0,0.368,0.075,0.2,0.536,0.704,16,,0.368
gcp,block,balanced,4,12,0,0.134,0.035,0.056,0.211,0.596,4,,0.134
gcp,block,largeobj,4,12,7,-0.003,0.001,-0.004,-0.002,0.692,1,,
gcp,file,balanced,4,12,0,0.352,0.055,0.229,0.476,0.801,64,,0.352
gcp,file,largeobj,4,12,0,0.03,0.026,-0.029,0.089,0.115,16,,0.03
gcp,object,balanced,4,12,0,1.114,0.034,1.038,1.19,0.991,64,,1.114
gcp,object,largeobj,4,12,6,0.302,0.052,0.187,0.418,0.772,16,,
huawei,block,balanced,4,12,0,0.194,0.049,0.085,0.304,0.612,4,,0.194
huawei,block,largeobj,4,12,9,-0.003,0.001,-0.005,-0.001,0.599,1,,
huawei,file,balanced,4,12,0,0.165,0.02,0.119,0.21,0.866,16,,0.165
huawei,file,largeobj,4,12,0,-0.001,0.0,-0.001,0.0,0.16,1,,-0.001
huawei,object,balanced,4,12,0,0.875,0.04,0.785,0.964,0.979,64,,0.875
huawei,object,largeobj,4,12,0,0.304,0.079,0.128,0.481,0.596,4,,0.304
